DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01M063,The STAR Academy - P.S.63,2016-17,200,22,38,37,28,28,26,21,0,0,0,0,0,0,0,97,48.5%,103,51.5%,8,4.0%,37,18.5%,129,64.5%,5,2.5%,21,10.5%,66,33.0%,5,2.5%,165,82.5%,69.0%
01M063,The STAR Academy - P.S.63,2017-18,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49.3%,103,50.7%,6,3.0%,37,18.2%,128,63.1%,8,3.9%,24,11.8%,67,33.0%,2,1.0%,166,81.8%,76.2%
01M063,The STAR Academy - P.S.63,2018-19,230,23,49,41,28,40,25,24,0,0,0,0,0,0,0,104,45.2%,126,54.8%,4,1.7%,45,19.6%,150,65.2%,9,3.9%,22,9.6%,73,31.7%,4,1.7%,176,76.5%,73.2%
01M064,P.S. 064 Robert Simon,2014-15,282,33,35,39,44,43,46,42,0,0,0,0,0,0,0,120,42.6%,162,57.4%,20,7.1%,51,18.1%,185,65.6%,5,1.8%,21,7.4%,93,33.0%,18,6.4%,266,94.3%,83.4%
01M064,P.S. 064 Robert Simon,2015-16,258,20,36,39,37,35,43,48,0,0,0,0,0,0,0,105,40.7%,153,59.3%,19,7.4%,49,19.0%,169,65.5%,2,0.8%,19,7.4%,85,32.9%,15,5.8%,240,93.0%,82.2%
01M064,P.S. 064 Robert Simon,2016-17,247,21,46,34,37,33,32,44,0,0,0,0,0,0,0,104,42.1%,143,57.9%,13,5.3%,48,19.4%,167,67.6%,3,1.2%,16,6.5%,81,32.8%,10,4.0%,239,96.8%,82.4%
01M064,P.S. 064 Robert Simon,2017-18,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41.2%,144,58.8%,11,4.5%,51,20.8%,167,68.2%,3,1.2%,13,5.3%,73,29.8%,5,2.0%,226,92.2%,88.2%
01M064,P.S. 064 Robert Simon,2018-19,223,19,42,32,40,29,28,33,0,0,0,0,0,0,0,93,41.7%,130,58.3%,7,3.1%,41,18.4%,159,71.3%,4,1.8%,12,5.4%,62,27.8%,6,2.7%,192,86.1%,89.6%
01M110,P.S. 110 Florence Nightingale,2014-15,419,35,54,68,80,54,72,56,0,0,0,0,0,0,0,203,48.4%,216,51.6%,54,12.9%,41,9.8%,186,44.4%,16,3.8%,122,29.1%,68,16.2%,9,2.1%,217,51.8%,46.2%
01M110,P.S. 110 Florence Nightingale,2015-16,394,29,47,50,60,88,54,66,0,0,0,0,0,0,0,188,47.7%,206,52.3%,63,16.0%,39,9.9%,170,43.1%,16,4.1%,106,26.9%,63,16.0%,5,1.3%,213,54.1%,47.6%
01M110,P.S. 110 Florence Nightingale,2016-17,383,32,62,54,50,59,76,50,0,0,0,0,0,0,0,179,46.7%,204,53.3%,70,18.3%,37,9.7%,161,42.0%,10,2.6%,105,27.4%,55,14.4%,20,5.2%,221,57.7%,48.5%
01M110,P.S. 110 Florence Nightingale,2017-18,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,43.8%,213,56.2%,64,16.9%,37,9.8%,168,44.3%,11,2.9%,99,26.1%,48,12.7%,14,3.7%,237,62.5%,58.0%
01M110,P.S. 110 Florence Nightingale,2018-19,372,34,59,66,59,52,45,57,0,0,0,0,0,0,0,168,45.2%,204,54.8%,59,15.9%,37,9.9%,168,45.2%,12,3.2%,96,25.8%,46,12.4%,8,2.2%,210,56.5%,59.2%
01M134,P.S. 134 Henrietta Szold,2014-15,255,15,28,41,38,49,41,43,0,0,0,0,0,0,0,118,46.3%,137,53.7%,65,25.5%,49,19.2%,133,52.2%,0,0.0%,8,3.1%,82,32.2%,33,12.9%,238,93.3%,81.6%
01M134,P.S. 134 Henrietta Szold,2015-16,263,15,39,33,47,40,51,38,0,0,0,0,0,0,0,125,47.5%,138,52.5%,56,21.3%,53,20.2%,145,55.1%,2,0.8%,7,2.7%,98,37.3%,31,11.8%,244,92.8%,81.7%
01M134,P.S. 134 Henrietta Szold,2016-17,354,22,29,58,51,61,59,74,0,0,0,0,0,0,0,171,48.3%,183,51.7%,55,15.5%,71,20.1%,213,60.2%,5,1.4%,10,2.8%,143,40.4%,33,9.3%,319,90.1%,82.8%
01M134,P.S. 134 Henrietta Szold,2017-18,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44.1%,166,55.9%,33,11.1%,64,21.5%,182,61.3%,7,2.4%,11,3.7%,124,41.8%,26,8.8%,273,91.9%,90.1%
01M134,P.S. 134 Henrietta Szold,2018-19,281,14,43,37,35,45,53,54,0,0,0,0,0,0,0,126,44.8%,155,55.2%,27,9.6%,73,26.0%,169,60.1%,3,1.1%,9,3.2%,116,41.3%,24,8.5%,259,92.2%,91.3%
01M140,P.S. 140 Nathan Straus,2014-15,380,18,26,29,27,35,32,34,53,65,61,0,0,0,0,198,52.1%,182,47.9%,21,5.5%,40,10.5%,302,79.5%,2,0.5%,15,3.9%,134,35.3%,65,17.1%,290,76.3%,83.4%
01M140,P.S. 140 Nathan Straus,2015-16,376,13,26,25,29,30,34,29,69,49,72,0,0,0,0,188,50.0%,188,50.0%,20,5.3%,47,12.5%,292,77.7%,4,1.1%,13,3.5%,132,35.1%,54,14.4%,296,78.7%,85.5%
01M140,P.S. 140 Nathan Straus,2016-17,382,18,31,28,25,28,32,34,64,66,56,0,0,0,0,182,47.6%,200,52.4%,18,4.7%,45,11.8%,304,79.6%,4,1.0%,11,2.9%,124,32.5%,45,11.8%,287,75.1%,83.6%
01M140,P.S. 140 Nathan Straus,2017-18,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49.1%,189,50.9%,21,5.7%,46,12.4%,292,78.7%,2,0.5%,10,2.7%,122,32.9%,36,9.7%,328,88.4%,91.3%
01M140,P.S. 140 Nathan Straus,2018-19,385,12,30,32,32,26,25,29,64,67,68,0,0,0,0,188,48.8%,197,51.2%,17,4.4%,54,14.0%,305,79.2%,0,0.0%,9,2.3%,137,35.6%,43,11.2%,321,83.4%,88.5%
01M142,P.S. 142 Amalia Castro,2014-15,386,33,65,58,45,65,56,64,0,0,0,0,0,0,0,179,46.4%,207,53.6%,21,5.4%,55,14.2%,294,76.2%,10,2.6%,6,1.6%,117,30.3%,40,10.4%,372,96.4%,85.1%
01M142,P.S. 142 Amalia Castro,2015-16,354,22,56,56,52,42,67,59,0,0,0,0,0,0,0,160,45.2%,194,54.8%,23,6.5%,40,11.3%,277,78.2%,6,1.7%,8,2.3%,132,37.3%,30,8.5%,341,96.3%,85.0%
01M142,P.S. 142 Amalia Castro,2016-17,356,34,56,56,47,51,44,68,0,0,0,0,0,0,0,162,45.5%,194,54.5%,17,4.8%,42,11.8%,285,80.1%,8,2.2%,4,1.1%,121,34.0%,32,9.0%,349,98.0%,85.7%
01M142,P.S. 142 Amalia Castro,2017-18,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,44.7%,188,55.3%,8,2.4%,43,12.6%,281,82.6%,7,2.1%,1,0.3%,127,37.4%,27,7.9%,332,97.6%,91.1%
01M142,P.S. 142 Amalia Castro,2018-19,353,51,48,55,49,51,44,55,0,0,0,0,0,0,0,153,43.3%,200,56.7%,13,3.7%,55,15.6%,273,77.3%,7,2.0%,5,1.4%,128,36.3%,26,7.4%,338,95.8%,90.1%
01M184,P.S. 184m Shuang Wen,2014-15,665,36,76,79,76,73,75,79,69,42,60,0,0,0,0,338,50.8%,327,49.2%,499,75.0%,21,3.2%,58,8.7%,29,4.4%,58,8.7%,85,12.8%,116,17.4%,459,69.0%,53.2%
01M184,P.S. 184m Shuang Wen,2015-16,663,36,63,73,77,61,63,77,84,78,51,0,0,0,0,331,49.9%,332,50.1%,471,71.0%,24,3.6%,77,11.6%,34,5.1%,57,8.6%,121,18.3%,115,17.3%,468,70.6%,53.7%
01M184,P.S. 184m Shuang Wen,2016-17,672,36,71,59,68,65,56,63,89,86,79,0,0,0,0,330,49.1%,342,50.9%,468,69.6%,30,4.5%,81,12.1%,36,5.4%,57,8.5%,125,18.6%,109,16.2%,461,68.6%,52.5%
01M184,P.S. 184m Shuang Wen,2017-18,684,35,72,69,54,72,65,53,94,83,87,0,0,0,0,341,49.9%,343,50.1%,475,69.4%,25,3.7%,92,13.5%,42,6.1%,50,7.3%,113,16.5%,103,15.1%,465,68.0%,65.3%
01M184,P.S. 184m Shuang Wen,2018-19,678,36,63,64,64,50,65,62,101,88,85,0,0,0,0,337,49.7%,341,50.3%,468,69.0%,27,4.0%,89,13.1%,43,6.3%,51,7.5%,106,15.6%,99,14.6%,459,67.7%,66.2%
01M188,P.S. 188 The Island School,2014-15,482,33,38,47,46,41,53,51,51,54,68,0,0,0,0,229,47.5%,253,52.5%,9,1.9%,151,31.3%,297,61.6%,1,0.2%,24,5.0%,131,27.2%,71,14.7%,412,85.5%,90.8%
01M188,P.S. 188 The Island School,2015-16,489,31,47,48,50,43,43,54,52,60,61,0,0,0,0,216,44.2%,273,55.8%,9,1.8%,145,29.7%,312,63.8%,2,0.4%,21,4.3%,146,29.9%,77,15.7%,424,86.7%,92.1%
01M188,P.S. 188 The Island School,2016-17,445,29,35,41,47,48,49,34,52,52,58,0,0,0,0,195,43.8%,250,56.2%,10,2.2%,141,31.7%,278,62.5%,1,0.2%,15,3.4%,138,31.0%,64,14.4%,382,85.8%,92.7%
01M188,P.S. 188 The Island School,2017-18,433,19,37,40,43,43,47,42,47,55,60,0,0,0,0,185,42.7%,248,57.3%,8,1.8%,127,29.3%,286,66.1%,0,0.0%,12,2.8%,135,31.2%,69,15.9%,399,92.1%,95.4%
01M188,P.S. 188 The Island School,2018-19,407,16,24,37,32,49,39,55,48,54,53,0,0,0,0,181,44.5%,226,55.5%,6,1.5%,134,32.9%,249,61.2%,3,0.7%,15,3.7%,138,33.9%,30,7.4%,381,93.6%,96.2%
01M292,Orchard Collegiate Academy,2014-15,255,0,0,0,0,0,0,0,17,14,19,59,52,36,58,96,37.6%,159,62.4%,32,12.5%,66,25.9%,142,55.7%,6,2.4%,9,3.5%,83,32.5%,30,11.8%,227,89.0%,84.0%
01M292,Orchard Collegiate Academy,2015-16,185,0,0,0,0,0,0,0,0,14,11,42,49,37,32,68,36.8%,117,63.2%,22,11.9%,49,26.5%,106,57.3%,2,1.1%,6,3.2%,64,34.6%,26,14.1%,163,88.1%,87.3%
01M292,Orchard Collegiate Academy,2016-17,140,0,0,0,0,0,0,0,0,0,0,40,35,31,34,53,37.9%,87,62.1%,21,15.0%,34,24.3%,77,55.0%,1,0.7%,7,5.0%,38,27.1%,20,14.3%,128,91.4%,84.7%
01M292,Orchard Collegiate Academy,2017-18,171,0,0,0,0,0,0,0,0,0,0,72,40,30,29,81,47.4%,90,52.6%,19,11.1%,43,25.1%,97,56.7%,4,2.3%,8,4.7%,41,24.0%,23,13.5%,157,91.8%,89.9%
01M292,Orchard Collegiate Academy,2018-19,197,0,0,0,0,0,0,0,0,0,0,67,70,35,25,91,46.2%,106,53.8%,19,9.6%,53,26.9%,112,56.9%,7,3.6%,6,3.0%,55,27.9%,23,11.7%,160,81.2%,86.7%
01M315,The East Village Community School,2014-15,289,36,45,48,45,44,28,43,0,0,0,0,0,0,0,131,45.3%,158,54.7%,29,10.0%,32,11.1%,64,22.1%,17,5.9%,147,50.9%,71,24.6%,4,1.4%,83,28.7%,32.6%
01M315,The East Village Community School,2015-16,299,36,49,50,47,45,45,27,0,0,0,0,0,0,0,144,48.2%,155,51.8%,28,9.4%,26,8.7%,62,20.7%,19,6.4%,164,54.8%,59,19.7%,2,0.7%,66,22.1%,26.7%
01M315,The East Village Community School,2016-17,315,36,48,49,49,44,47,42,0,0,0,0,0,0,0,155,49.2%,160,50.8%,32,10.2%,17,5.4%,61,19.4%,21,6.7%,184,58.4%,59,18.7%,4,1.3%,71,22.5%,26.0%
01M315,The East Village Community School,2017-18,318,36,46,50,50,48,40,48,0,0,0,0,0,0,0,161,50.6%,157,49.4%,32,10.1%,17,5.3%,64,20.1%,22,6.9%,183,57.5%,56,17.6%,4,1.3%,86,27.0%,36.9%
01M315,The East Village Community School,2018-19,333,36,50,49,50,50,53,45,0,0,0,0,0,0,0,174,52.3%,159,47.7%,32,9.6%,15,4.5%,77,23.1%,18,5.4%,191,57.4%,52,15.6%,5,1.5%,90,27.0%,34.3%
01M332,University Neighborhood Middle School,2014-15,86,0,0,0,0,0,0,0,31,24,31,0,0,0,0,40,46.5%,46,53.5%,4,4.7%,18,20.9%,57,66.3%,3,3.5%,4,4.7%,35,40.7%,11,12.8%,75,87.2%,76.9%
01M332,University Neighborhood Middle School,2015-16,110,0,0,0,0,0,0,0,39,35,36,0,0,0,0,49,44.5%,61,55.5%,6,5.5%,30,27.3%,69,62.7%,1,0.9%,4,3.6%,43,39.1%,16,14.5%,96,87.3%,73.2%
01M332,University Neighborhood Middle School,2016-17,234,0,0,0,0,0,0,0,67,77,90,0,0,0,0,102,43.6%,132,56.4%,22,9.4%,67,28.6%,133,56.8%,1,0.4%,11,4.7%,109,46.6%,23,9.8%,205,87.6%,80.1%
01M332,University Neighborhood Middle School,2017-18,203,0,0,0,0,0,0,0,69,65,69,0,0,0,0,88,43.3%,115,56.7%,18,8.9%,47,23.2%,128,63.1%,2,1.0%,8,3.9%,89,43.8%,11,5.4%,180,88.7%,84.8%
01M332,University Neighborhood Middle School,2018-19,209,0,0,0,0,0,0,0,69,77,63,0,0,0,0,90,43.1%,119,56.9%,18,8.6%,41,19.6%,131,62.7%,2,1.0%,17,8.1%,92,44.0%,7,3.3%,176,84.2%,80.8%
01M361,The Children's Workshop School,2014-15,255,34,44,40,34,27,41,35,0,0,0,0,0,0,0,130,51.0%,125,49.0%,29,11.4%,29,11.4%,92,36.1%,4,1.6%,101,39.6%,61,23.9%,13,5.1%,119,46.7%,41.9%
01M361,The Children's Workshop School,2015-16,267,33,47,46,39,33,26,43,0,0,0,0,0,0,0,129,48.3%,138,51.7%,27,10.1%,28,10.5%,104,39.0%,6,2.2%,102,38.2%,65,24.3%,18,6.7%,128,47.9%,42.3%
01M361,The Children's Workshop School,2016-17,295,35,59,55,48,35,35,28,0,0,0,0,0,0,0,140,47.5%,155,52.5%,30,10.2%,29,9.8%,114,38.6%,14,4.7%,108,36.6%,67,22.7%,12,4.1%,142,48.1%,45.6%
01M361,The Children's Workshop School,2017-18,315,36,57,61,48,46,35,32,0,0,0,0,0,0,0,146,46.3%,169,53.7%,31,9.8%,29,9.2%,124,39.4%,20,6.3%,111,35.2%,73,23.2%,9,2.9%,144,45.7%,50.5%
01M361,The Children's Workshop School,2018-19,320,36,54,47,55,43,48,37,0,0,0,0,0,0,0,149,46.6%,171,53.4%,31,9.7%,33,10.3%,127,39.7%,17,5.3%,112,35.0%,75,23.4%,11,3.4%,154,48.1%,52.5%
01M363,Neighborhood School,2014-15,302,16,63,39,42,37,53,52,0,0,0,0,0,0,0,144,47.7%,158,52.3%,22,7.3%,45,14.9%,87,28.8%,4,1.3%,144,47.7%,78,25.8%,13,4.3%,121,40.1%,40.7%
01M363,Neighborhood School,2015-16,313,16,58,62,38,44,39,56,0,0,0,0,0,0,0,143,45.7%,170,54.3%,17,5.4%,40,12.8%,107,34.2%,8,2.6%,141,45.0%,77,24.6%,11,3.5%,122,39.0%,39.7%
01M363,Neighborhood School,2016-17,304,18,58,51,56,44,43,34,0,0,0,0,0,0,0,148,48.7%,156,51.3%,15,4.9%,33,10.9%,105,34.5%,9,3.0%,142,46.7%,69,22.7%,10,3.3%,121,39.8%,39.9%
01M363,Neighborhood School,2017-18,304,18,56,50,49,51,43,37,0,0,0,0,0,0,0,149,49.0%,155,51.0%,19,6.3%,28,9.2%,106,34.9%,11,3.6%,140,46.1%,69,22.7%,10,3.3%,133,43.8%,47.8%
01M363,Neighborhood School,2018-19,306,36,39,59,40,48,44,40,0,0,0,0,0,0,0,145,47.4%,161,52.6%,21,6.9%,27,8.8%,115,37.6%,14,4.6%,129,42.2%,69,22.5%,4,1.3%,124,40.5%,45.0%
01M364,Earth School,2014-15,321,18,56,51,48,44,55,49,0,0,0,0,0,0,0,160,49.8%,161,50.2%,24,7.5%,45,14.0%,109,34.0%,21,6.5%,122,38.0%,74,23.1%,15,4.7%,139,43.3%,41.3%
01M364,Earth School,2015-16,340,36,50,53,48,49,48,56,0,0,0,0,0,0,0,163,47.9%,177,52.1%,25,7.4%,43,12.6%,120,35.3%,25,7.4%,127,37.4%,85,25.0%,19,5.6%,157,46.2%,41.4%
01M364,Earth School,2016-17,331,36,48,48,56,48,49,46,0,0,0,0,0,0,0,163,49.2%,168,50.8%,20,6.0%,43,13.0%,113,34.1%,28,8.5%,127,38.4%,85,25.7%,17,5.1%,164,49.5%,44.8%
01M364,Earth School,2017-18,355,35,62,53,47,55,51,52,0,0,0,0,0,0,0,161,45.4%,194,54.6%,24,6.8%,40,11.3%,139,39.2%,31,8.7%,121,34.1%,103,29.0%,21,5.9%,194,54.6%,55.4%
01M364,Earth School,2018-19,350,36,61,54,48,48,57,46,0,0,0,0,0,0,0,157,44.9%,193,55.1%,25,7.1%,38,10.9%,141,40.3%,28,8.0%,118,33.7%,93,26.6%,21,6.0%,195,55.7%,56.8%
01M378,School for Global Leaders,2014-15,235,0,0,0,0,0,0,0,81,76,78,0,0,0,0,105,44.7%,130,55.3%,38,16.2%,54,23.0%,132,56.2%,5,2.1%,6,2.6%,77,32.8%,32,13.6%,170,72.3%,76.3%
01M378,School for Global Leaders,2015-16,264,0,0,0,0,0,0,0,100,84,80,0,0,0,0,117,44.3%,147,55.7%,40,15.2%,59,22.3%,154,58.3%,6,2.3%,5,1.9%,88,33.3%,20,7.6%,183,69.3%,75.8%
01M378,School for Global Leaders,2016-17,283,0,0,0,0,0,0,0,101,97,85,0,0,0,0,126,44.5%,157,55.5%,41,14.5%,77,27.2%,156,55.1%,4,1.4%,5,1.8%,103,36.4%,29,10.2%,195,68.9%,74.6%
01M378,School for Global Leaders,2017-18,256,0,0,0,0,0,0,0,70,90,96,0,0,0,0,111,43.4%,145,56.6%,35,13.7%,70,27.3%,145,56.6%,2,0.8%,4,1.6%,100,39.1%,23,9.0%,212,82.8%,85.3%
01M378,School for Global Leaders,2018-19,250,0,0,0,0,0,0,0,63,86,101,0,0,0,0,103,41.2%,147,58.8%,32,12.8%,59,23.6%,141,56.4%,8,3.2%,10,4.0%,95,38.0%,25,10.0%,211,84.4%,84.3%
01M448,University Neighborhood High School,2014-15,304,0,0,0,0,0,0,0,0,0,0,102,100,51,51,115,37.8%,189,62.2%,92,30.3%,74,24.3%,125,41.1%,2,0.7%,11,3.6%,67,22.0%,59,19.4%,272,89.5%,81.9%
01M448,University Neighborhood High School,2015-16,343,0,0,0,0,0,0,0,0,0,0,120,105,69,49,148,43.1%,195,56.9%,96,28.0%,93,27.1%,142,41.4%,2,0.6%,10,2.9%,68,19.8%,47,13.7%,303,88.3%,76.6%
01M448,University Neighborhood High School,2016-17,392,0,0,0,0,0,0,0,0,0,0,136,111,78,67,176,44.9%,216,55.1%,119,30.4%,94,24.0%,166,42.3%,2,0.5%,11,2.8%,58,14.8%,35,8.9%,351,89.5%,75.3%
01M448,University Neighborhood High School,2017-18,465,0,0,0,0,0,0,0,0,0,0,160,130,94,81,198,42.6%,267,57.4%,141,30.3%,100,21.5%,206,44.3%,3,0.6%,15,3.2%,80,17.2%,49,10.5%,415,89.2%,82.9%
01M448,University Neighborhood High School,2018-19,483,0,0,0,0,0,0,0,0,0,0,131,139,120,93,230,47.6%,253,52.4%,178,36.9%,94,19.5%,184,38.1%,5,1.0%,22,4.6%,81,16.8%,71,14.7%,419,86.7%,82.0%
01M450,East Side Community School,2014-15,666,0,0,0,0,0,0,0,103,91,87,94,101,93,97,313,47.0%,353,53.0%,62,9.3%,143,21.5%,376,56.5%,13,2.0%,72,10.8%,183,27.5%,8,1.2%,494,74.2%,60.0%
01M450,East Side Community School,2015-16,677,0,0,0,0,0,0,0,95,103,93,103,96,97,90,334,49.3%,343,50.7%,73,10.8%,139,20.5%,361,53.3%,23,3.4%,81,12.0%,191,28.2%,6,0.9%,471,69.6%,58.7%
01M450,East Side Community School,2016-17,699,0,0,0,0,0,0,0,108,91,107,107,96,101,89,335,47.9%,364,52.1%,78,11.2%,126,18.0%,381,54.5%,21,3.0%,93,13.3%,200,28.6%,4,0.6%,475,68.0%,57.5%
01M450,East Side Community School,2017-18,683,0,0,0,0,0,0,0,99,105,94,95,100,93,97,317,46.4%,366,53.6%,81,11.9%,113,16.5%,367,53.7%,22,3.2%,100,14.6%,182,26.6%,6,0.9%,447,65.4%,62.9%
01M450,East Side Community School,2018-19,680,0,0,0,0,0,0,0,101,101,108,96,93,91,90,323,47.5%,357,52.5%,80,11.8%,113,16.6%,366,53.8%,17,2.5%,104,15.3%,184,27.1%,9,1.3%,452,66.5%,64.1%
01M458,Forsyth Satellite Academy,2014-15,179,0,0,0,0,0,0,0,0,0,0,29,49,47,54,102,57.0%,77,43.0%,2,1.1%,76,42.5%,97,54.2%,1,0.6%,3,1.7%,31,17.3%,16,8.9%,147,82.1%,73.8%
