DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
02M001,P.S. 001 Alfred E. Smith,70%,79%,N/A,3.27,2.88,3.91,3.70,3.20,3.61
02M002,P.S. 002 Meyer London,81%,84%,N/A,N/A,N/A,N/A,3.63,N/A,4.01
02M003,P.S. 003 Charrette School,50%,73%,N/A,3.88,4.40,3.72,3.15,4.35,4.25
02M006,P.S. 006 Lillie D. Blake,46%,45%,N/A,4.16,3.25,4.65,3.79,4.57,3.14
02M011,P.S. 011 William T. Harris,63%,80%,N/A,4.69,4.51,4.48,4.02,4.47,4.28
02M033,P.S. 033 Chelsea Prep,63%,54%,N/A,3.56,1.85,4.21,3.40,3.83,2.88
02M040,P.S. 040 Augustus Saint-Gaudens,46%,69%,N/A,4.77,4.58,4.89,4.29,4.57,4.59
02M041,P.S. 041 Greenwich Village,56%,78%,N/A,4.84,4.38,4.88,4.39,4.57,4.42
02M042,P.S. 042 Benjamin Altman,96%,88%,N/A,4.00,4.77,4.25,4.49,4.01,4.67
02M047,47 The American Sign Language And English Secondary School,12%,45%,89%,3.67,3.37,3.60,3.28,N/A,N/A
02M051,P.S. 051 Elias Howe,68%,94%,N/A,4.56,4.36,3.92,3.56,4.36,4.24
02M059,P.S. 059 Beekman Hill International,66%,63%,N/A,4.78,4.24,4.90,4.04,4.71,4.34
02M077,P.S. 77 Lower Lab School,76%,100%,N/A,4.00,2.19,4.27,4.30,4.15,2.48
02M089,P.S. 89,70%,72%,N/A,N/A,N/A,N/A,4.30,N/A,4.59
02M104,J.H.S. 104 Simon Baruch,71%,99%,94%,4.22,3.35,4.20,3.61,2.74,3.53
02M111,P.S. 111 Adolph S. Ochs,44%,74%,N/A,3.33,3.56,2.80,2.62,3.40,3.76
02M114,East Side Middle School,58%,97%,98%,4.58,4.19,4.80,4.34,3.66,4.15
02M116,P.S. 116 Mary Lindley Murray,41%,89%,N/A,4.49,3.44,4.61,3.74,4.26,4.09
02M124,P.S. 124 Yung Wing,100%,84%,N/A,N/A,N/A,N/A,3.67,N/A,3.04
02M126,P.S. 126 Jacob August Riis,37%,73%,96%,4.37,3.80,4.24,4.06,3.09,4.11
02M130,P.S. 130 Hernando De Soto,75%,100%,N/A,4.00,4.68,3.69,4.62,3.94,4.50
02M131,M.S. 131,56%,100%,94%,4.49,4.14,3.78,3.98,3.14,4.05
02M135,The Urban Assembly School For Emergency Management,34%,88%,78%,2.88,3.19,3.80,2.62,3.08,3.28
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,29%,100%,93%,4.33,4.22,3.30,3.24,3.80,3.91
02M150,P.S. 150,93%,100%,N/A,4.19,4.49,3.85,3.96,4.71,4.28
02M151,Yorkville Community School,56%,93%,N/A,4.82,4.30,4.81,3.57,4.57,4.38
02M158,P.S. 158 Bayard Taylor,70%,69%,N/A,4.03,3.23,4.78,3.69,3.94,3.42
02M167,J.H.S. 167 Robert F. Wagner,71%,93%,95%,4.10,3.56,4.08,3.62,2.81,3.36
02M177,Yorkville East Middle School,52%,100%,94%,3.98,4.37,3.57,3.91,3.87,4.15
02M183,P.S. 183 Robert L. Stevenson,61%,77%,N/A,4.31,2.78,3.57,3.88,4.57,3.73
02M198,P.S. 198 Isador E. Ida Straus,91%,89%,N/A,3.33,3.63,3.22,2.78,4.38,3.95
02M212,P.S. 212 Midtown West,87%,96%,N/A,4.61,4.19,4.49,4.09,4.47,3.82
02M217,P.S./I.S. 217 Roosevelt Island,69%,85%,100%,4.81,4.06,4.76,3.93,4.32,4.04
02M225,Ella Baker School,48%,79%,81%,4.33,3.16,4.63,3.34,4.39,3.52
02M234,P.S. 234 Independence School,69%,86%,N/A,4.39,2.95,4.31,3.81,4.15,3.97
02M255,M.S. 255 Salk School Of Science,70%,92%,97%,4.70,4.90,4.11,4.35,4.68,4.66
02M260,M.S. 260 Clinton School Writers & Artists,52%,100%,96%,3.36,3.64,4.71,4.24,3.70,4.04
02M267,"East Side Elementary School, Ps 267",64%,86%,N/A,4.26,3.48,4.71,3.58,3.94,3.45
02M276,Battery Park City School,40%,88%,92%,3.52,3.75,4.45,3.37,3.94,3.25
02M280,Manhattan Early College School For Advertising,40%,87%,90%,3.41,3.93,3.28,3.51,4.03,3.26
02M281,The River School,89%,100%,N/A,4.60,3.98,3.84,4.59,4.23,4.32
02M282,Urban Assembly Maker Academy,55%,100%,89%,3.89,3.94,3.11,2.88,4.19,4.43
02M288,Food And Finance High School,14%,76%,76%,N/A,N/A,N/A,2.94,N/A,2.74
02M289,I.S. 289,65%,90%,98%,4.54,4.45,4.05,4.15,3.99,4.06
02M290,P.S. 290 Manhattan New School,71%,97%,N/A,4.80,4.10,4.56,4.21,4.36,4.19
02M294,Essex Street Academy,34%,100%,84%,4.75,4.44,4.43,4.04,3.99,4.23
02M296,High School Of Hospitality Management,1%,96%,66%,4.10,3.50,3.45,2.91,N/A,N/A
02M298,Pace High School,45%,97%,79%,3.70,3.32,3.74,3.17,2.69,3.34
02M300,"Urban Assembly School Of Design And Construction, The",46%,96%,69%,3.10,2.82,3.39,2.90,2.81,3.76
02M303,"Facing History School, The",46%,100%,91%,4.57,4.50,3.97,3.60,3.81,4.57
02M305,"Urban Assembly Academy Of Government And Law, The",45%,100%,87%,4.26,4.27,3.43,3.11,2.73,3.31
02M308,Lower Manhattan Arts Academy,24%,96%,75%,3.23,3.34,3.53,3.78,1.75,2.14
02M312,New York City Lab Middle School For Collaborative Studies,48%,78%,98%,4.05,3.11,3.47,4.11,3.96,3.57
02M313,"James Baldwin School, The: A School For Expeditionary Learning",35%,95%,57%,3.90,4.27,2.72,3.34,3.12,4.37
02M316,"Urban Assembly School Of Business For Young Women, The",40%,77%,69%,3.06,3.49,2.43,2.46,2.41,3.37
02M340,Sixth Avenue Elementary School,65%,87%,N/A,N/A,N/A,N/A,4.13,N/A,4.25
02M343,The Peck Slip School,84%,83%,N/A,4.12,4.28,4.06,4.79,4.36,3.92
02M347,The 47 American Sign Language & English Lower School,34%,62%,56%,2.43,2.64,3.11,3.10,1.91,2.77
02M374,Gramercy Arts High School,13%,85%,89%,2.57,2.70,2.64,2.47,2.36,2.34
02M376,Nyc Ischool,45%,81%,88%,4.43,4.18,4.40,3.98,4.08,4.36
02M392,Manhattan Business Academy,35%,97%,85%,4.09,3.85,4.58,3.36,3.09,3.41
02M393,Business Of Sports School,12%,79%,90%,2.86,3.10,4.10,2.84,3.36,3.46
02M394,Emma Lazarus High School,77%,88%,93%,4.35,3.82,4.72,4.25,3.15,3.94
02M397,Spruce Street School,62%,58%,86%,4.46,3.20,4.30,3.73,4.47,3.53
02M399,The High School For Language And Diplomacy,9%,53%,69%,1.59,1.25,1.84,1.78,1.54,1.40
02M400,High School For Environmental Studies,10%,84%,72%,3.33,3.34,2.77,2.89,2.45,3.11
02M407,Institute For Collaborative Education,35%,81%,84%,4.61,4.39,4.90,3.98,4.49,4.27
02M408,Professional Performing Arts High School,37%,89%,81%,3.28,3.45,3.42,3.21,3.11,3.38
02M411,Baruch College Campus High School,37%,67%,65%,3.06,1.70,4.39,4.27,3.07,3.26
02M412,N.Y.C. Lab School For Collaborative Studies,36%,80%,95%,4.59,4.42,4.46,4.11,4.40,4.27
02M413,School Of The Future High School,40%,76%,90%,4.25,3.32,4.30,4.02,3.23,3.23
02M414,N.Y.C. Museum School,16%,100%,95%,2.61,2.66,3.68,3.26,2.02,1.82
02M416,Eleanor Roosevelt High School,45%,97%,84%,N/A,N/A,N/A,4.13,N/A,4.45
02M418,Millennium High School,30%,100%,96%,3.55,3.49,2.85,4.28,2.79,3.54
02M419,Landmark High School,21%,100%,47%,3.24,3.44,3.57,2.87,3.47,3.56
02M420,High School For Health Professions And Human Services,70%,93%,91%,4.23,3.11,3.90,4.13,2.30,3.34
02M422,Quest To Learn,24%,98%,78%,3.61,3.31,3.06,3.06,4.12,3.49
02M425,Leadership And Public Service High School,21%,90%,49%,3.56,3.18,2.32,3.21,2.96,3.82
02M427,Manhattan Academy For Arts & Language,50%,83%,81%,3.90,4.30,3.61,2.86,3.30,4.12
02M432,Murray Hill Academy,50%,100%,83%,4.59,4.01,3.49,2.96,2.85,3.39
02M437,Hudson High School Of Learning Technologies,14%,91%,69%,4.11,3.53,3.35,2.63,2.26,3.23
02M438,International High School At Union Square,56%,93%,85%,3.80,3.62,3.67,3.50,2.90,4.25
02M439,Manhattan Village Academy,48%,96%,99%,4.07,3.96,4.86,4.63,4.17,3.79
02M442,"Ballet Tech, Nyc Public School For Dance",76%,89%,100%,3.89,4.46,4.44,4.22,4.55,4.35
02M449,Vanguard High School,23%,94%,86%,4.64,4.16,4.50,3.69,3.66,4.15
02M459,Manhattan International High School,89%,90%,87%,4.70,4.63,4.78,3.86,4.33,4.60
02M473,Washington Irving Yabc,0%,82%,47%,2.39,1.51,2.41,3.49,N/A,N/A
02M475,Stuyvesant High School,44%,76%,96%,3.40,4.06,4.08,4.42,3.65,3.94
02M489,High School Of Economics And Finance,25%,98%,87%,2.97,2.56,3.39,2.87,2.13,2.69
02M500,Unity Center For Urban Technologies,75%,81%,91%,3.45,3.96,3.22,3.61,3.72,3.93
02M507,Urban Assembly Gateway School For Technology,41%,91%,87%,4.51,4.10,4.47,3.84,4.40,4.39
02M519,Talent Unlimited High School,23%,100%,93%,3.09,3.19,3.94,3.28,2.80,3.01
02M520,Murry Bergtraum High School For Business Careers,12%,73%,64%,2.80,3.05,2.45,3.32,2.51,2.62
02M527,P.S. 527 - East Side School For Social Action,67%,100%,N/A,4.08,4.78,4.16,4.86,4.57,4.78
02M529,Jacqueline Kennedy Onassis High School,11%,84%,71%,2.71,3.09,2.09,2.41,2.57,2.31
02M531,Repertory Company High School For Theatre Arts,19%,100%,78%,3.60,3.05,4.28,3.08,3.07,2.32
02M533,Union Square Academy For Health Sciences,64%,94%,80%,4.48,4.29,4.29,3.63,4.31,3.88
02M534,Harvest Collegiate High School,42%,82%,53%,3.74,4.12,3.19,3.19,3.35,3.77
02M542,Manhattan Bridges High School,66%,91%,45%,4.53,4.00,4.84,3.99,3.27,3.77
02M543,New Design High School,10%,94%,70%,4.04,2.63,3.78,3.81,1.84,3.77
02M544,Independence High School,12%,79%,31%,3.93,4.66,3.53,3.71,3.80,4.25
02M545,High School For Dual Language And Asian Studies,68%,69%,95%,N/A,N/A,N/A,4.25,N/A,3.35
02M546,Academy For Software Engineering,47%,94%,86%,3.82,4.41,3.60,3.06,3.96,4.40
02M550,Liberty High School Academy For Newcomers,46%,85%,89%,4.42,4.27,3.56,3.23,2.53,3.71
02M551,Urban Assembly New York Harbor School,31%,89%,59%,3.01,3.97,2.14,3.48,3.76,3.92
02M560,High School M560 - City As School,2%,78%,15%,4.64,4.05,4.79,N/A,3.32,4.07
02M565,Urban Academy Laboratory High School,38%,100%,75%,4.68,4.22,4.43,4.53,3.32,4.06
02M570,Satellite Academy High School,2%,69%,28%,3.24,2.17,4.29,N/A,N/A,N/A
02M575,Manhattan Comprehensive Night And Day High School,20%,87%,71%,4.62,4.53,3.96,4.26,3.82,4.55
02M580,Richard R. Green High School Of Teaching,25%,73%,73%,N/A,N/A,N/A,3.51,N/A,3.40
02M586,Harvey Milk High School,36%,100%,58%,4.91,4.89,3.61,4.54,4.06,4.70
02M600,The High School Of Fashion Industries,30%,94%,94%,4.46,4.30,3.92,3.67,4.09,3.88
02M605,Humanities Preparatory Academy,32%,100%,69%,4.85,4.74,4.04,3.73,2.73,3.79
02M615,Chelsea Career And Technical Education High School,33%,91%,84%,3.72,3.12,3.70,3.24,2.57,3.29
02M630,Art And Design High School,27%,88%,57%,2.93,3.26,3.09,2.96,3.07,2.81
02M655,Life Sciences Secondary School,7%,52%,62%,2.88,1.38,1.94,1.79,N/A,N/A
02M896,Lower Manhattan Community Middle School,61%,97%,98%,4.60,4.54,3.93,4.16,4.53,4.40
02M933,City Knoll Middle School,37%,95%,96%,3.36,3.48,3.35,2.92,3.19,2.94
03M009,P.S. 009 Sarah Anderson,82%,100%,N/A,4.93,4.81,4.99,4.23,4.57,4.61
03M054,J.H.S. 054 Booker T. Washington,69%,100%,97%,3.51,3.82,4.01,3.60,3.57,3.30
03M075,P.S. 075 Emily Dickinson,63%,79%,N/A,3.46,3.51,3.66,3.40,3.82,4.04
03M076,P.S. 076 A. Philip Randolph,50%,89%,93%,3.66,4.02,2.95,3.59,4.05,4.54
03M084,P.S. 084 Lillian Weber,71%,91%,N/A,4.19,3.41,3.45,3.66,3.62,3.63
03M087,P.S. 087 William Sherman,62%,79%,N/A,3.88,4.01,4.05,4.07,4.57,3.46
03M145,"P.S. 145, The Bloomingdale School",73%,100%,N/A,3.02,3.26,3.02,2.27,2.76,2.58
03M149,P.S. 149 Sojourner Truth,73%,92%,96%,N/A,N/A,N/A,3.03,N/A,1.99
03M163,P.S. 163 Alfred E. Smith,68%,95%,N/A,4.07,2.73,3.84,2.97,4.04,2.98
03M165,P.S. 165 Robert E. Simon,67%,84%,99%,3.18,2.25,3.39,3.26,3.65,3.11
03M166,P.S. 166 The Richard Rodgers School Of The Arts And Technology,63%,95%,N/A,3.28,2.38,4.44,3.22,3.71,2.89
03M180,P.S. 180 Hugo Newman,42%,94%,96%,2.99,3.01,2.60,3.02,3.40,2.55
03M185,P.S. 185 - The Early Childhood Discovery And Design Magnet School,95%,100%,N/A,3.23,3.04,3.47,3.44,3.72,3.18
03M191,P.S. 191 Amsterdam,93%,93%,97%,3.56,3.65,3.41,2.75,4.14,3.55
03M199,P.S. 199 Jessie Isador Straus,61%,92%,N/A,4.43,3.46,4.72,3.60,4.35,3.66
03M208,P.S. 208 Alain L. Locke,90%,100%,N/A,3.23,3.46,3.38,2.72,3.40,3.78
03M241,Stem Institute Of Manhattan,78%,88%,N/A,2.47,3.43,2.55,3.29,2.21,3.58
03M242,P.S. 242 - The Young Diplomats Magnet Academy,71%,91%,N/A,N/A,N/A,N/A,2.10,N/A,3.47
03M243,M.S. 243 Center School,96%,100%,98%,3.22,4.26,3.45,4.28,3.79,4.31
03M245,M.S. M245 The Computer School,55%,73%,94%,4.27,3.33,4.51,4.33,3.89,3.99
03M247,M.S. M247 Dual Language Middle School,76%,100%,97%,4.25,3.99,4.31,3.91,4.20,4.35
03M250,M.S. 250 West Side Collaborative Middle School,40%,94%,97%,4.55,4.34,3.60,3.52,3.70,3.95
03M256,M.S. 256 Academic & Athletic Excellence,75%,100%,92%,4.08,3.98,3.69,3.19,3.31,4.18
03M258,Community Action School - Ms 258,61%,100%,98%,4.69,4.32,3.95,3.79,3.87,3.86
03M291,West End Secondary School,79%,94%,87%,4.08,4.71,4.82,4.24,4.62,4.36
03M299,The Maxine Greene Hs For Imaginative Inquiry,24%,57%,74%,2.73,2.38,3.29,3.47,2.81,3.34
03M307,"Urban Assembly School For Media Studies, The",34%,93%,83%,N/A,N/A,N/A,3.37,N/A,4.00
03M333,P.S. 333 Manhattan School For Children,71%,40%,92%,3.46,1.53,3.96,3.37,4.17,2.26
03M334,The Anderson School,85%,96%,100%,4.22,3.45,4.69,4.44,4.47,3.61
03M402,The Urban Assembly School For Green Careers,74%,100%,87%,4.45,3.91,4.61,3.81,2.58,3.17
03M403,The Global Learning Collaborative,33%,80%,66%,N/A,N/A,N/A,4.07,N/A,3.66
03M404,Innovation Diploma Plus,19%,92%,66%,4.30,3.79,3.42,3.85,3.43,4.09
03M415,Wadleigh Secondary School For The Performing & Visual Arts,33%,97%,75%,N/A,N/A,N/A,2.99,N/A,2.39
03M417,Frank Mccourt High School,23%,85%,90%,4.49,3.59,4.35,2.97,3.41,3.07
03M421,West Prep Academy,39%,95%,92%,4.14,3.31,3.49,3.54,3.87,3.52
03M452,P.S. 452,66%,79%,N/A,4.70,3.52,4.10,4.14,4.15,3.37
03M479,Beacon High School,23%,39%,53%,3.77,1.95,4.47,4.36,3.09,2.81
03M485,Fiorello H. Laguardia High School Of Music & Art And Performing Arts,21%,62%,87%,N/A,N/A,N/A,3.66,N/A,1.86
03M492,"High School For Law, Advocacy And Community Justice",34%,97%,61%,4.41,3.75,4.29,2.93,3.47,3.87
03M494,High School Of Arts And Technology,41%,74%,61%,2.05,1.83,1.68,2.52,2.35,1.47
03M505,Edward A. Reynolds West Side High School,8%,95%,32%,4.24,2.96,3.52,3.73,2.51,3.72
03M541,Manhattan / Hunter Science High School,63%,85%,95%,3.49,3.70,4.70,4.31,3.15,3.59
03M859,Special Music School,66%,95%,98%,4.61,4.04,4.79,4.24,3.91,4.20
03M860,Frederick Douglass Academy Ii Secondary School,19%,84%,59%,N/A,N/A,N/A,3.04,N/A,2.39
03M862,Mott Hall Ii,93%,100%,100%,4.40,4.48,4.31,3.91,3.99,4.11
04M007,P.S. 007 Samuel Stern,36%,76%,71%,3.37,3.14,3.66,2.96,2.07,3.35
04M012,Tag Young Scholars,49%,83%,89%,3.67,3.73,4.83,4.06,3.83,3.28
04M037,River East Elementary,77%,100%,N/A,4.58,4.48,4.20,3.97,4.26,4.50
04M038,P.S. 38 Roberto Clemente,68%,92%,N/A,N/A,N/A,N/A,2.15,N/A,2.67
04M050,P.S. 050 Vito Marcantonio,60%,67%,84%,N/A,N/A,N/A,2.73,N/A,2.28
04M057,James Weldon Johnson,38%,94%,92%,3.37,3.47,3.91,3.59,2.87,3.55
04M072,The Lexington Academy,26%,82%,79%,4.24,4.03,3.60,3.06,2.66,3.73
04M083,P.S. 083 Luis Munoz Rivera,53%,100%,N/A,3.75,4.19,3.64,3.44,3.72,4.23
04M096,P.S. 096 Joseph Lanzetta,33%,90%,97%,2.60,2.48,2.08,3.45,2.02,2.46
04M102,P.S. 102 Jacques Cartier,61%,88%,N/A,2.95,3.38,2.22,2.17,2.97,2.77
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,50%,96%,96%,3.16,2.95,2.63,2.83,2.65,2.83
04M112,P.S. 112 Jose Celso Barbosa,67%,88%,N/A,4.22,3.81,4.20,3.11,3.30,3.33
04M146,P.S. 146 Ann M. Short,36%,87%,N/A,2.07,2.55,1.78,2.42,3.29,2.89
04M155,P.S. 155 William Paca,54%,100%,N/A,N/A,N/A,N/A,2.98,N/A,3.15
04M171,P.S. 171 Patrick Henry,97%,55%,97%,4.11,3.74,4.71,3.85,4.07,3.86
04M182,The Bilingual Bicultural School,66%,83%,N/A,3.60,3.52,3.19,3.52,2.65,3.07
04M206,P.S. 206 Jose Celso Barbosa,79%,99%,99%,3.69,3.46,3.25,3.19,2.76,3.69
04M224,M.S. 224 Manhattan East School For Arts & Academics,59%,100%,97%,4.35,4.45,4.03,3.76,3.47,3.95
04M372,Esperanza Preparatory Academy,55%,96%,89%,2.61,1.84,2.51,2.94,2.09,2.45
04M375,Mosaic Preparatory Academy,61%,94%,N/A,3.37,1.82,3.67,3.69,3.20,2.10
04M377,Renaissance School Of The Arts,94%,100%,99%,N/A,N/A,N/A,3.87,N/A,3.94
04M406,Global Technology Preparatory,26%,94%,91%,3.68,3.61,3.40,3.75,3.88,3.48
04M409,Coalition School For Social Change,44%,100%,99%,N/A,N/A,N/A,2.87,N/A,2.13
04M435,Manhattan Center For Science And Mathematics,89%,82%,95%,3.84,3.91,4.77,4.01,3.16,3.46
04M495,Park East High School,71%,100%,94%,4.76,4.16,4.18,4.70,3.60,4.42
04M497,Central Park East I,60%,94%,N/A,2.45,1.55,3.36,2.86,3.41,1.82
04M555,Central Park East High School,34%,89%,90%,4.71,4.59,4.84,4.60,3.82,4.35
04M610,Young Women'S Leadership School,52%,100%,87%,4.71,4.43,4.41,4.26,2.74,4.17
04M680,"Heritage School, The",51%,96%,90%,N/A,N/A,N/A,3.95,N/A,3.49
04M825,Isaac Newton Middle School For Math & Science,49%,94%,99%,2.73,3.34,2.82,3.01,3.01,3.13
04M964,Central Park East Ii,71%,85%,99%,4.23,3.74,4.28,3.36,3.94,3.58
05M030,P.S. 030 Hernandez/Hughes,39%,95%,N/A,3.43,3.51,3.54,2.76,2.23,2.94
05M036,P.S. 036 Margaret Douglas,49%,71%,N/A,N/A,N/A,N/A,2.40,N/A,2.41
05M046,P.S. 046 Arthur Tappan,52%,78%,99%,3.26,2.91,2.88,3.44,2.78,3.62
05M092,P.S. 092 Mary Mcleod Bethune,100%,86%,N/A,3.07,2.54,2.97,2.96,2.02,2.01
05M123,P.S. 123 Mahalia Jackson,69%,89%,96%,3.01,3.28,2.95,2.69,2.76,3.00
05M125,P.S. 125 Ralph Bunche,40%,59%,N/A,3.92,4.59,3.51,3.22,4.26,4.56
05M129,P.S. 129 John H. Finley,22%,51%,95%,2.25,1.91,2.14,2.03,1.15,2.15
05M133,P.S. 133 Fred R Moore,66%,95%,N/A,2.39,2.64,2.62,2.12,2.34,2.71
05M148,Eagle Academy For Young Men Of Harlem,20%,90%,83%,3.29,3.91,3.29,2.99,3.97,3.38
05M154,P.S. 154 Harriet Tubman,52%,88%,N/A,3.50,3.53,3.61,4.10,2.76,3.38
05M157,The Urban Assembly School For Global Commerce,86%,85%,66%,2.60,3.35,2.69,3.42,2.94,2.53
05M161,P.S. 161 Pedro Albizu Campos,54%,79%,82%,3.65,3.59,2.72,3.20,3.33,3.81
05M175,P.S. 175 Henry H Garnet,70%,96%,N/A,3.60,3.56,3.01,2.98,2.86,3.59
05M194,P.S. 194 Countee Cullen,100%,100%,N/A,N/A,N/A,N/A,3.08,N/A,3.06
05M197,P.S. 197 John B. Russwurm,66%,94%,N/A,3.73,3.77,3.12,2.87,4.40,4.41
05M200,P.S. 200- The James Mccune Smith School,41%,98%,N/A,3.05,2.99,2.56,2.32,2.23,3.26
05M285,Harlem Renaissance High School,7%,60%,32%,2.25,1.00,2.74,2.60,1.43,1.33
05M286,Urban Assembly Academy For Future Leaders,42%,62%,88%,2.43,1.20,2.47,2.90,2.38,1.66
05M302,Kappa Iv,64%,90%,88%,2.49,1.50,2.58,2.04,3.05,2.10
05M304,Mott Hall High School,91%,83%,90%,2.96,3.51,2.58,2.84,4.03,3.48
05M318,Thurgood Marshall Academy Lower School,82%,100%,N/A,3.64,3.15,3.66,3.31,3.83,3.30
05M362,Columbia Secondary School,32%,65%,92%,4.19,3.91,4.39,3.68,3.94,3.80
05M367,Academy For Social Action,28%,94%,65%,3.08,4.01,2.44,2.48,2.34,3.05
05M369,Urban Assembly School For The Performing Arts,44%,100%,69%,N/A,N/A,N/A,2.84,N/A,3.66
05M499,Frederick Douglass Academy,12%,58%,62%,2.64,3.19,3.20,2.56,2.24,3.09
05M514,New Design Middle School,14%,68%,94%,2.68,1.54,2.22,2.22,3.13,3.05
05M517,Teachers College Community School,80%,100%,N/A,2.18,2.22,2.92,2.96,3.20,2.81
05M670,Thurgood Marshall Academy For Learning And Social Change,49%,54%,87%,4.12,3.29,3.12,3.86,2.70,2.91
05M692,"High School For Mathematics, Science And Engineering At City College",25%,94%,90%,4.32,3.47,4.85,4.16,3.46,3.43
06M004,P.S. 004 Duke Ellington,91%,98%,N/A,2.49,3.42,2.54,2.75,2.65,3.45
06M005,P.S. 005 Ellen Lurie,77%,92%,N/A,3.58,3.97,3.56,3.45,3.51,3.80
06M008,P.S. 008 Luis Belliard,78%,96%,N/A,4.22,3.97,3.79,2.91,3.40,4.16
06M018,P.S. 018 Park Terrace,91%,100%,100%,3.78,4.09,3.55,3.88,3.68,3.89
06M028,P.S. 028 Wright Brothers,86%,100%,N/A,3.80,4.05,4.04,3.56,2.66,3.71
06M048,P.S. 048 P.O. Michael J. Buczek,68%,90%,N/A,3.45,2.05,2.79,3.42,2.45,3.52
06M052,J.H.S. 052 Inwood,68%,100%,100%,3.69,3.02,3.41,3.03,2.74,3.70
06M098,P.S. 098 Shorac Kappock,69%,81%,N/A,2.84,2.95,3.07,2.63,2.76,3.02
06M103,Dos Puentes Elementary School,88%,95%,N/A,3.89,4.41,4.01,3.68,3.98,4.40
06M115,P.S. 115 Alexander Humboldt,60%,51%,N/A,3.77,3.72,3.76,2.98,2.86,3.60
06M128,P.S. 128 Audubon,53%,78%,N/A,4.53,4.03,3.96,3.65,3.30,4.13
06M132,P.S. 132 Juan Pablo Duarte,94%,82%,N/A,2.50,3.13,2.76,3.12,1.91,2.41
06M143,J.H.S. 143 Eleanor Roosevelt,56%,100%,94%,3.58,2.95,2.69,2.42,2.43,3.59
06M152,P.S. 152 Dyckman Valley,100%,89%,N/A,3.15,3.53,3.37,3.29,3.19,3.51
06M153,P.S. 153 Adam Clayton Powell,96%,71%,N/A,4.82,4.83,4.54,4.11,4.65,4.67
