DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
01M448,High School,University Neighborhood High School,32%,84%,83%,95%,93%,85%,79%,87%,95%,90%,86%,94%
01M450,Middle/High,East Side Community School,44%,94%,82%,95%,96%,92%,88%,92%,95%,94%,90%,96%
01M458,Transfer High School,Forsyth Satellite Academy,14%,83%,39%,96%,83%,94%,71%,90%,92%,84%,91%,92%
01M509,High School,Marta Valle High School,27%,92%,62%,76%,69%,86%,70%,81%,82%,81%,80%,78%
01M515,Transfer High School,Lower East Side Preparatory High School,64%,97%,82%,94%,89%,92%,77%,90%,94%,90%,90%,92%
01M539,Elementary/Middle/High,"New Explorations into Science, Technology and Math High School",45%,56%,85%,73%,55%,81%,81%,85%,74%,84%,81%,71%
01M650,Transfer High School,Cascades High School,21%,100%,70%,92%,89%,90%,73%,86%,91%,84%,85%,92%
01M696,High School,Bard High School Early College,50%,85%,92%,90%,90%,92%,75%,91%,92%,89%,89%,90%
01M839,Middle School,Tompkins Square Middle School,45%,72%,89%,89%,86%,90%,83%,88%,94%,93%,87%,89%
02M001,Elementary School,P.S. 001 Alfred E. Smith,51%,79%,N/A,91%,86%,89%,87%,95%,94%,93%,N/A,90%
02M002,Elementary School,P.S. 002 Meyer London,81%,76%,N/A,86%,76%,93%,83%,94%,89%,94%,N/A,85%
02M003,Elementary School,P.S. 003 Charrette School,72%,78%,N/A,93%,93%,97%,96%,97%,95%,96%,N/A,94%
02M006,Elementary School,P.S. 006 Lillie D. Blake,49%,85%,N/A,90%,87%,87%,92%,95%,90%,93%,N/A,90%
02M011,Elementary School,P.S. 011 William T. Harris,66%,100%,N/A,93%,91%,93%,93%,98%,95%,96%,N/A,94%
02M033,Elementary School,P.S. 033 Chelsea Prep,66%,68%,N/A,90%,82%,97%,92%,94%,89%,93%,N/A,89%
02M040,Elementary School,P.S. 040 Augustus Saint-Gaudens,46%,72%,N/A,94%,91%,97%,96%,99%,96%,95%,N/A,95%
02M041,Elementary School,P.S. 041 Greenwich Village,74%,92%,N/A,96%,92%,95%,95%,98%,98%,96%,N/A,96%
02M042,Elementary School,P.S. 042 Benjamin Altman,100%,91%,N/A,94%,89%,91%,85%,96%,96%,94%,N/A,93%
02M047,High School,47 The American Sign Language and English Secondary School,29%,95%,82%,88%,75%,79%,73%,85%,88%,86%,81%,85%
02M051,Elementary School,P.S. 051 Elias Howe,86%,89%,N/A,95%,91%,90%,89%,97%,97%,94%,N/A,95%
02M059,Elementary School,P.S. 059 Beekman Hill International,65%,79%,N/A,87%,76%,87%,94%,95%,89%,96%,N/A,86%
02M077,Elementary School,P.S. 77 Lower Lab School,94%,100%,N/A,96%,93%,93%,95%,98%,99%,96%,N/A,96%
02M089,Elementary School,P.S. 89,61%,100%,N/A,94%,90%,95%,93%,98%,97%,96%,N/A,94%
02M104,Middle School,J.H.S. 104 Simon Baruch,82%,99%,97%,89%,84%,87%,70%,85%,92%,86%,83%,89%
02M111,Elementary/Middle,P.S. 111 Adolph S. Ochs,22%,67%,92%,79%,74%,89%,88%,81%,86%,92%,77%,82%
02M114,Middle School,East Side Middle School,72%,100%,98%,96%,94%,92%,82%,92%,96%,91%,89%,96%
02M116,Elementary School,P.S. 116 Mary Lindley Murray,38%,89%,N/A,92%,83%,92%,90%,95%,92%,90%,N/A,91%
02M124,Elementary School,P.S. 124 Yung Wing,100%,91%,N/A,77%,65%,83%,80%,94%,85%,93%,N/A,77%
02M126,Elementary/Middle,P.S. 126 Jacob August Riis,37%,83%,99%,93%,89%,91%,82%,91%,95%,92%,90%,92%
02M130,Elementary School,P.S. 130 Hernando De Soto,83%,100%,N/A,97%,96%,98%,90%,97%,99%,95%,N/A,98%
02M131,Middle School,M.S. 131,57%,95%,94%,92%,86%,86%,78%,91%,95%,92%,90%,90%
02M135,High School,The Urban Assembly School for Emergency Management,45%,100%,98%,88%,83%,73%,77%,88%,91%,91%,86%,86%
02M139,High School,Stephen T. Mather Building Arts & Craftsmanship High School,37%,100%,94%,95%,92%,85%,75%,82%,94%,89%,80%,94%
02M150,Elementary School,P.S. 150,73%,100%,N/A,90%,90%,95%,95%,96%,97%,94%,N/A,93%
02M151,Elementary School,Yorkville Community School,53%,98%,N/A,96%,90%,96%,92%,93%,95%,94%,N/A,94%
02M158,Elementary School,P.S. 158 Bayard Taylor,42%,53%,N/A,87%,80%,96%,89%,96%,89%,92%,N/A,88%
02M167,Middle School,J.H.S. 167 Robert F. Wagner,58%,93%,90%,89%,84%,85%,76%,87%,92%,88%,84%,89%
02M177,Middle School,Yorkville East Middle School,94%,100%,100%,99%,99%,99%,92%,88%,98%,97%,88%,100%
02M183,Elementary School,P.S. 183 Robert L. Stevenson,57%,81%,N/A,94%,88%,85%,93%,94%,95%,93%,N/A,93%
02M198,Elementary School,P.S. 198 Isador E. Ida Straus,88%,74%,N/A,90%,78%,89%,95%,86%,93%,96%,N/A,86%
02M212,Elementary School,P.S. 212 Midtown West,98%,100%,N/A,98%,97%,93%,97%,97%,99%,98%,N/A,97%
02M217,Elementary/Middle,P.S./I.S. 217 Roosevelt Island,61%,78%,95%,95%,88%,93%,89%,89%,92%,90%,87%,94%
02M225,Elementary/Middle,Ella Baker School,35%,77%,81%,91%,82%,91%,95%,93%,90%,96%,89%,88%
02M234,Elementary School,P.S. 234 Independence School,79%,73%,N/A,90%,76%,92%,94%,97%,87%,95%,N/A,87%
02M255,Middle School,M.S. 255 Salk School of Science,66%,96%,95%,97%,96%,93%,88%,95%,98%,96%,92%,97%
02M260,Middle School,M.S. 260 Clinton School Writers & Artists,59%,72%,97%,90%,87%,91%,87%,90%,95%,94%,87%,91%
02M267,Elementary School,"East Side Elementary School, PS 267",75%,95%,N/A,96%,90%,94%,91%,95%,91%,91%,N/A,94%
02M276,Elementary/Middle,BATTERY PARK CITY SCHOOL,51%,68%,94%,94%,92%,92%,90%,88%,93%,93%,83%,95%
02M280,High School,Manhattan Early College School for Advertising,53%,89%,95%,92%,94%,86%,79%,89%,94%,93%,87%,92%
02M281,Early Childhood,The River School,71%,100%,N/A,98%,95%,93%,97%,97%,97%,95%,N/A,97%
02M282,High School,Urban Assembly Maker Academy,25%,100%,85%,94%,91%,78%,81%,84%,93%,85%,82%,93%
02M288,High School,Food and Finance High School,17%,84%,81%,88%,84%,90%,63%,81%,88%,82%,79%,88%
02M289,Middle School,I.S. 289,60%,100%,100%,97%,95%,91%,84%,82%,93%,93%,78%,97%
02M290,Elementary School,P.S. 290 Manhattan New School,58%,90%,N/A,96%,92%,92%,93%,97%,97%,95%,N/A,95%
02M294,High School,Essex Street Academy,26%,100%,81%,98%,97%,91%,79%,88%,96%,91%,86%,98%
02M296,High School,High School of Hospitality Management,30%,90%,79%,92%,91%,88%,73%,85%,91%,84%,84%,92%
02M298,High School,Pace High School,86%,100%,94%,89%,87%,91%,71%,88%,91%,86%,86%,90%
02M300,High School,"Urban Assembly School of Design and Construction, The",16%,93%,77%,91%,91%,87%,79%,84%,93%,92%,81%,91%
02M303,High School,"Facing History School, The",41%,100%,85%,91%,90%,88%,78%,90%,94%,89%,90%,91%
02M305,High School,"Urban Assembly Academy of Government and Law, The",19%,95%,84%,89%,85%,84%,72%,80%,91%,86%,77%,89%
02M308,High School,Lower Manhattan Arts Academy,12%,96%,82%,87%,91%,84%,75%,79%,91%,91%,77%,88%
02M312,Middle School,New York City Lab Middle School for Collaborative Studies,54%,81%,94%,91%,83%,88%,85%,90%,92%,91%,87%,91%
02M313,Transfer High School,"James Baldwin School, The: A School for Expeditionary Learning",28%,100%,43%,93%,95%,86%,82%,84%,94%,88%,83%,94%
02M316,High School,"Urban Assembly School of Business for Young Women, the",31%,88%,67%,92%,86%,86%,70%,80%,87%,78%,78%,92%
02M340,Early Childhood,Sixth Avenue Elementary School,69%,100%,N/A,99%,100%,94%,95%,100%,100%,98%,N/A,99%
02M343,Early Childhood,The Peck Slip School,76%,83%,N/A,98%,97%,95%,92%,98%,97%,94%,N/A,98%
02M347,Elementary/Middle,The 47 American Sign Language & English Lower School,33%,88%,83%,68%,53%,82%,82%,91%,82%,91%,89%,65%
02M374,High School,Gramercy Arts High School,26%,84%,90%,86%,75%,87%,65%,76%,85%,82%,74%,84%
02M376,High School,NYC iSchool,51%,90%,81%,94%,93%,90%,79%,92%,96%,90%,90%,95%
02M392,High School,MANHATTAN BUSINESS ACADEMY,34%,100%,80%,81%,84%,81%,70%,82%,83%,84%,81%,81%
02M393,High School,BUSINESS OF SPORTS SCHOOL,21%,68%,88%,77%,79%,73%,79%,85%,86%,91%,83%,77%
02M394,Transfer High School,EMMA LAZARUS HIGH SCHOOL,84%,100%,91%,81%,68%,94%,75%,92%,86%,90%,92%,79%
02M397,Elementary School,SPRUCE STREET SCHOOL,58%,76%,N/A,93%,93%,97%,94%,97%,95%,93%,N/A,96%
02M399,High School,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,30%,87%,84%,87%,84%,85%,67%,80%,89%,88%,77%,86%
02M400,High School,High School for Environmental Studies,13%,97%,74%,85%,76%,84%,68%,84%,87%,84%,82%,83%
02M407,Middle/High,Institute for Collaborative Education,36%,100%,83%,98%,98%,94%,89%,90%,96%,95%,87%,99%
02M408,Middle/High,Professional Performing Arts High School,33%,88%,83%,86%,85%,90%,75%,84%,91%,84%,80%,90%
02M411,High School,Baruch College Campus High School,38%,76%,82%,94%,92%,91%,70%,90%,95%,88%,88%,94%
02M412,High School,N.Y.C. Lab School for Collaborative Studies,34%,74%,91%,91%,89%,86%,79%,89%,94%,91%,86%,91%
02M413,Middle/High,School of the Future High School,40%,59%,90%,96%,91%,88%,76%,88%,92%,88%,85%,94%
02M414,High School,N.Y.C. Museum School,17%,75%,98%,79%,60%,86%,64%,84%,81%,86%,81%,74%
02M416,High School,Eleanor Roosevelt High School,51%,100%,98%,80%,75%,89%,76%,92%,86%,90%,90%,80%
02M418,High School,Millennium High School,34%,100%,93%,88%,82%,87%,71%,89%,89%,87%,85%,86%
02M419,High School,Landmark High School,40%,100%,71%,88%,86%,84%,78%,83%,92%,89%,82%,88%
02M420,High School,High School for Health Professions and Human Services,45%,91%,91%,87%,83%,87%,69%,87%,91%,87%,85%,87%
02M422,Middle/High,Quest to Learn,49%,80%,85%,79%,74%,83%,80%,82%,86%,88%,81%,80%
02M425,High School,Leadership and Public Service High School,28%,98%,42%,81%,84%,86%,75%,83%,89%,93%,83%,82%
02M427,High School,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,50%,100%,84%,94%,89%,90%,78%,83%,92%,86%,83%,94%
02M429,High School,Legacy School for Integrated Studies,28%,86%,94%,87%,87%,87%,78%,68%,88%,82%,67%,89%
02M432,Transfer High School,Murray Hill Academy,19%,93%,91%,91%,88%,86%,76%,86%,91%,90%,84%,90%
02M437,High School,Hudson High School of Learning Technologies,13%,97%,56%,92%,93%,85%,75%,82%,92%,83%,81%,93%
02M438,High School,International High School at Union Square,26%,67%,66%,91%,88%,89%,79%,85%,91%,93%,85%,89%
02M439,High School,Manhattan Village Academy,70%,93%,99%,87%,85%,88%,80%,90%,87%,93%,88%,85%
02M442,Elementary/Middle,"Ballet Tech, NYC Public School for Dance",85%,78%,100%,98%,94%,98%,84%,92%,95%,95%,89%,98%
02M449,High School,Vanguard High School,27%,100%,79%,98%,97%,88%,75%,89%,96%,89%,88%,97%
02M459,High School,Manhattan International High School,74%,82%,87%,78%,77%,81%,77%,90%,87%,89%,89%,78%
02M460,High School,Washington Irving High School,23%,46%,47%,83%,70%,90%,78%,88%,85%,93%,86%,79%
02M473,YABC,Washington Irving Yabc,0%,70%,33%,92%,87%,84%,91%,90%,95%,N/A,90%,91%
02M475,High School,Stuyvesant High School,52%,94%,96%,80%,77%,84%,70%,87%,87%,89%,85%,80%
02M489,High School,High School of Economics and Finance,38%,89%,80%,82%,80%,86%,68%,83%,85%,85%,81%,82%
02M500,High School,Unity Center for Urban Technologies,65%,100%,94%,80%,73%,86%,85%,88%,87%,89%,89%,80%
02M507,High School,Urban Assembly Gateway School for Technology,27%,94%,79%,93%,89%,82%,77%,85%,95%,91%,82%,92%
02M519,High School,Talent Unlimited High School,28%,76%,96%,95%,89%,93%,75%,84%,92%,88%,79%,95%
02M520,High School,Murry Bergtraum High School for Business Careers,8%,41%,42%,71%,56%,84%,68%,73%,75%,73%,70%,72%
02M527,Early Childhood,PS 527 - East Side School for Social Action,80%,100%,N/A,99%,98%,100%,96%,99%,100%,98%,N/A,99%
02M529,High School,Jacqueline Kennedy Onassis High School,10%,80%,53%,82%,69%,83%,74%,79%,80%,83%,76%,78%
02M531,High School,Repertory Company High School for Theatre Arts,60%,100%,83%,95%,95%,92%,73%,90%,94%,87%,90%,95%
02M533,High School,Union Square Academy for Health Sciences,42%,79%,75%,81%,75%,89%,69%,82%,83%,88%,82%,78%
02M534,High School,Harvest Collegiate High School,27%,76%,54%,95%,98%,88%,80%,82%,93%,90%,78%,96%
02M542,High School,Manhattan Bridges High School,62%,97%,85%,89%,86%,92%,79%,94%,93%,92%,94%,89%
02M543,High School,New Design High School,9%,91%,74%,84%,76%,75%,70%,85%,92%,91%,84%,79%
02M545,High School,High School for Dual Language and Asian Studies,61%,82%,92%,83%,71%,90%,64%,90%,87%,85%,90%,81%
02M546,High School,Academy for Software Engineering,44%,93%,90%,97%,98%,92%,83%,89%,96%,92%,88%,97%
02M550,Transfer High School,Liberty High School Academy for Newcomers,49%,69%,87%,86%,76%,91%,73%,82%,85%,86%,81%,84%
02M551,High School,Urban Assembly New York Harbor School,16%,75%,59%,72%,66%,81%,79%,79%,82%,86%,77%,72%
02M560,Transfer High School,High School M560 - City As School,6%,68%,15%,98%,98%,94%,79%,92%,97%,89%,92%,98%
02M565,Transfer High School,Urban Academy Laboratory High School,22%,100%,68%,98%,97%,96%,79%,94%,99%,94%,95%,97%
02M570,Transfer High School,Satellite Academy High School,3%,100%,65%,91%,91%,98%,74%,97%,93%,88%,98%,91%
02M575,Transfer High School,Manhattan Comprehensive Night and Day High School,39%,81%,69%,90%,86%,92%,73%,93%,94%,90%,93%,90%
02M580,High School,Richard R. Green High School of Teaching,16%,88%,67%,90%,87%,86%,71%,79%,90%,84%,77%,90%
02M586,Transfer High School,Harvey Milk High School,22%,90%,85%,96%,97%,93%,81%,88%,95%,92%,88%,96%
02M600,High School,The High School of Fashion Industries,29%,88%,92%,90%,88%,89%,71%,84%,90%,87%,81%,90%
02M605,Transfer High School,Humanities Preparatory Academy,11%,100%,67%,98%,99%,98%,78%,94%,98%,93%,94%,98%
02M615,High School,Chelsea Career and Technical Education High School,29%,79%,86%,87%,84%,86%,74%,84%,90%,88%,81%,87%
02M625,High School,High School of Graphic Communication Arts,3%,22%,3%,69%,58%,81%,64%,80%,77%,84%,82%,65%
02M630,High School,Art and Design High School,25%,50%,48%,76%,66%,80%,66%,85%,82%,83%,83%,73%
02M655,Middle/High,Life Sciences Secondary School,34%,62%,60%,90%,67%,90%,65%,77%,81%,74%,76%,85%
02M896,Middle School,Lower Manhattan Community Middle School,55%,100%,84%,93%,95%,84%,85%,90%,96%,94%,88%,93%
02M933,Middle School,City Knoll Middle School,74%,100%,96%,95%,93%,90%,78%,80%,93%,91%,79%,93%
03M009,Elementary School,P.S. 009 Sarah Anderson,72%,100%,N/A,95%,91%,100%,90%,99%,96%,94%,N/A,96%
03M054,Middle School,J.H.S. 054 Booker T. Washington,52%,86%,97%,83%,80%,85%,84%,87%,90%,91%,84%,85%
03M075,Elementary School,P.S. 075 Emily Dickinson,42%,90%,N/A,88%,80%,93%,92%,92%,92%,94%,N/A,88%
03M076,Elementary/Middle,P.S. 076 A. Philip Randolph,48%,91%,97%,95%,89%,91%,89%,93%,96%,93%,93%,93%
03M084,Elementary School,P.S. 084 Lillian Weber,34%,59%,N/A,94%,81%,92%,89%,97%,93%,90%,N/A,93%
03M087,Elementary School,P.S. 087 William Sherman,34%,53%,N/A,80%,69%,92%,93%,97%,84%,92%,N/A,84%
03M145,Elementary School,"P.S. 145, The Bloomingdale School",70%,93%,N/A,85%,76%,91%,82%,89%,84%,88%,N/A,84%
03M149,Elementary/Middle,P.S. 149 Sojourner Truth,61%,62%,95%,70%,60%,83%,81%,77%,82%,90%,77%,70%
03M163,Elementary School,P.S. 163 Alfred E. Smith,41%,87%,N/A,82%,59%,89%,91%,91%,78%,90%,N/A,77%
03M165,Elementary/Middle,P.S. 165 Robert E. Simon,53%,82%,91%,82%,73%,87%,86%,87%,85%,89%,87%,81%
03M166,Elementary School,P.S. 166 The Richard Rodgers School of The Arts and Technology,65%,100%,N/A,86%,68%,84%,90%,95%,84%,91%,N/A,83%
03M180,Elementary/Middle,P.S. 180 Hugo Newman,37%,96%,95%,86%,85%,86%,90%,86%,90%,92%,85%,88%
03M185,Early Childhood,P.S. 185 - The Early Childhood Discovery and Design Magnet School,100%,100%,N/A,84%,80%,87%,89%,98%,85%,93%,N/A,84%
03M191,Elementary/Middle,P.S. 191 Amsterdam,89%,89%,96%,79%,70%,82%,88%,82%,88%,95%,78%,79%
03M199,Elementary School,P.S. 199 Jessie Isador Straus,44%,85%,N/A,93%,90%,94%,94%,99%,95%,96%,N/A,94%
03M208,Elementary School,P.S. 208 Alain L. Locke,87%,100%,N/A,90%,81%,88%,85%,82%,91%,90%,N/A,86%
03M241,Elementary School,STEM Institute of Manhattan,60%,36%,N/A,94%,95%,N/A,88%,91%,94%,93%,N/A,N/A
03M242,Elementary School,P.S. 242 - The Young Diplomats Magnet Academy,42%,48%,N/A,76%,62%,96%,83%,82%,75%,91%,N/A,73%
03M243,Middle School,M.S. 243 Center School,87%,100%,99%,91%,90%,96%,91%,96%,96%,96%,94%,93%
03M245,Middle School,M.S. M245 The Computer School,43%,77%,50%,92%,85%,90%,86%,91%,95%,93%,88%,90%
03M247,Middle School,M.S. M247 Dual Language Middle School,70%,100%,91%,93%,88%,89%,88%,92%,95%,94%,92%,92%
03M250,Middle School,M.S. 250 West Side Collaborative Middle School,54%,100%,95%,98%,97%,91%,82%,91%,96%,92%,89%,98%
03M256,Middle School,M.S. 256 Academic & Athletic Excellence,76%,100%,91%,89%,87%,83%,83%,80%,91%,93%,77%,89%
03M258,Middle School,Community Action School - MS 258,40%,96%,94%,96%,94%,96%,82%,87%,93%,92%,84%,96%
03M283,High School,Manhattan Theatre Lab High School,38%,100%,94%,97%,94%,94%,81%,84%,96%,94%,84%,96%
03M299,High School,"High School for Arts, Imagination and Inquiry",21%,100%,82%,75%,69%,84%,74%,79%,86%,88%,78%,75%
03M307,High School,"Urban Assembly School for Media Studies, The",18%,96%,87%,88%,87%,90%,73%,81%,87%,85%,80%,89%
03M333,Elementary/Middle,P.S. 333 Manhattan School for Children,59%,71%,97%,87%,79%,93%,94%,88%,91%,94%,85%,89%
03M334,Elementary/Middle,The Anderson School,87%,97%,97%,90%,87%,90%,93%,92%,92%,93%,90%,91%
03M402,High School,The Urban Assembly School for Green Careers,25%,74%,69%,87%,85%,78%,72%,76%,82%,83%,72%,85%
03M403,High School,The Global Learning Collaborative,26%,69%,63%,73%,76%,83%,87%,80%,81%,95%,77%,74%
03M404,Transfer High School,Innovation Diploma Plus,50%,93%,39%,94%,91%,91%,80%,92%,96%,92%,91%,92%
03M415,Middle/High,Wadleigh Secondary School for the Performing & Visual Arts,21%,89%,72%,77%,71%,86%,77%,82%,82%,87%,81%,79%
03M417,High School,FRANK McCOURT HIGH SCHOOL,26%,89%,94%,98%,95%,92%,80%,86%,93%,88%,84%,98%
03M421,Middle School,West Prep Academy,50%,79%,78%,97%,94%,90%,86%,83%,94%,90%,81%,97%
03M452,Elementary School,P.S. 452,67%,100%,N/A,98%,96%,97%,94%,99%,97%,94%,N/A,98%
03M479,High School,Beacon High School,28%,69%,79%,92%,86%,88%,75%,92%,92%,88%,90%,90%
03M485,High School,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,19%,51%,91%,70%,52%,79%,67%,81%,71%,84%,78%,64%
03M492,High School,"High School for Law, Advocacy and Community Justice",19%,95%,73%,90%,85%,90%,72%,78%,86%,81%,75%,91%
03M494,High School,High School of Arts and Technology,8%,50%,81%,64%,51%,75%,69%,73%,73%,81%,70%,62%
03M505,Transfer High School,Edward A. Reynolds West Side High School,8%,90%,22%,89%,84%,88%,73%,91%,92%,90%,90%,87%
03M541,High School,Manhattan / Hunter Science High School,48%,88%,77%,91%,89%,87%,68%,90%,90%,88%,88%,90%
03M859,Elementary/Middle/High,Special Music School,69%,93%,89%,97%,95%,96%,91%,91%,95%,92%,90%,98%
03M860,Middle/High,Frederick Douglass Academy II Secondary School,24%,77%,75%,76%,72%,76%,76%,81%,84%,90%,82%,74%
03M862,Middle School,Mott Hall II,83%,71%,97%,95%,93%,83%,84%,89%,95%,93%,86%,94%
04M007,Elementary/Middle,P.S. 007 Samuel Stern,33%,58%,83%,86%,82%,90%,84%,83%,87%,89%,79%,88%
04M012,Elementary/Middle,Tag Young Scholars,53%,100%,97%,92%,86%,92%,87%,91%,90%,91%,89%,91%
04M013,Middle School,J.H.S. 013 Jackie Robinson,97%,100%,89%,81%,79%,71%,90%,89%,85%,97%,86%,78%
04M037,Elementary School,River East Elementary,65%,100%,N/A,88%,74%,90%,86%,92%,93%,92%,N/A,86%
04M038,Elementary School,P.S. 38 Roberto Clemente,60%,96%,N/A,77%,68%,87%,82%,76%,82%,86%,N/A,76%
04M050,Elementary/Middle,P.S. 050 Vito Marcantonio,33%,80%,0%,74%,67%,87%,79%,89%,84%,90%,N/A,76%
04M057,Elementary/Middle,James Weldon Johnson,41%,57%,86%,85%,81%,92%,82%,85%,91%,90%,84%,87%
04M072,Elementary School,The Lexington Academy,50%,90%,92%,90%,82%,90%,87%,94%,92%,93%,95%,88%
04M083,Elementary School,P.S. 083 Luis Munoz Rivera,58%,100%,N/A,90%,85%,88%,87%,90%,98%,94%,N/A,90%
04M096,Elementary/Middle,P.S. 096 Joseph Lanzetta,71%,80%,99%,85%,77%,88%,77%,89%,88%,85%,88%,85%
04M102,Elementary School,P.S. 102 Jacques Cartier,62%,76%,N/A,78%,68%,86%,87%,84%,88%,94%,N/A,78%
04M108,Elementary/Middle,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,27%,56%,91%,80%,67%,87%,83%,86%,86%,90%,85%,77%
04M112,Early Childhood,P.S. 112 Jose Celso Barbosa,85%,98%,N/A,93%,85%,91%,89%,97%,95%,95%,N/A,91%
04M146,Elementary School,P.S. 146 Ann M. Short,29%,57%,N/A,71%,65%,77%,90%,80%,84%,98%,N/A,69%
04M155,Elementary School,P.S. 155 William Paca,62%,94%,N/A,79%,74%,84%,85%,91%,79%,90%,N/A,80%
04M171,Elementary/Middle,P.S. 171 Patrick Henry,85%,80%,97%,83%,71%,92%,87%,95%,89%,93%,95%,80%
04M182,Elementary School,The Bilingual Bicultural School,82%,77%,N/A,85%,60%,93%,84%,91%,80%,91%,N/A,79%
04M206,Elementary/Middle,P.S. 206 Jose Celso Barbosa,73%,100%,99%,85%,80%,83%,82%,85%,91%,91%,83%,84%
04M224,Middle School,M.S. 224 Manhattan East School for Arts & Academics,44%,100%,88%,88%,80%,88%,79%,86%,88%,87%,84%,86%
04M372,Middle/High,ESPERANZA PREPARATORY ACADEMY,52%,65%,94%,77%,72%,87%,77%,84%,85%,89%,84%,78%
04M375,Elementary School,Mosaic Preparatory Academy,70%,93%,N/A,86%,75%,89%,86%,89%,86%,92%,N/A,84%
04M377,Middle School,Renaissance School of the Arts,82%,94%,100%,93%,89%,89%,90%,88%,95%,94%,87%,93%
04M381,Middle School,Global Neighborhood Secondary School,47%,100%,91%,93%,89%,88%,86%,86%,94%,91%,86%,93%
04M406,Middle School,Global Technology Preparatory,38%,100%,95%,99%,96%,89%,81%,88%,94%,89%,85%,98%
04M409,High School,Coalition School for Social Change,11%,87%,74%,89%,81%,84%,75%,83%,92%,91%,81%,87%
04M435,High School,Manhattan Center for Science and Mathematics,79%,78%,95%,92%,83%,92%,65%,85%,86%,79%,83%,90%
04M495,High School,Park East High School,73%,100%,91%,95%,90%,88%,73%,91%,95%,91%,90%,92%
04M497,Elementary School,Central Park East I,56%,73%,N/A,97%,95%,100%,96%,98%,94%,96%,N/A,97%
04M555,High School,Central Park East High School,19%,97%,89%,94%,93%,87%,73%,91%,96%,90%,89%,93%
