DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
01M509,Marta Valle High School,21%,79%,81%,69%,64%,74%,82%,64%,75%,88%,66%,67%
01M515,Lower East Side Preparatory High School,48%,92%,90%,94%,97%,91%,82%,85%,96%,94%,85%,95%
01M539,"New Explorations Into Science, Technology And Math High School",53%,81%,90%,65%,61%,79%,90%,74%,75%,87%,74%,67%
01M650,Cascades High School,26%,100%,78%,89%,96%,80%,85%,76%,95%,93%,78%,90%
01M696,Bard High School Early College,49%,85%,96%,80%,86%,87%,86%,83%,87%,92%,82%,82%
01M839,Tompkins Square Middle School,56%,80%,95%,86%,84%,88%,91%,77%,90%,94%,77%,87%
02M001,P.S. 001 Alfred E. Smith,55%,74%,N/A,83%,86%,89%,92%,84%,89%,96%,N/A,83%
02M002,P.S. 002 Meyer London,89%,90%,N/A,79%,81%,78%,89%,84%,87%,95%,N/A,80%
02M003,P.S. 003 Charrette School,59%,64%,N/A,89%,94%,91%,96%,84%,94%,94%,N/A,90%
02M006,P.S. 006 Lillie D. Blake,41%,64%,N/A,83%,85%,86%,96%,88%,83%,93%,N/A,84%
02M011,P.S. 011 William T. Harris,69%,95%,N/A,94%,97%,95%,97%,92%,96%,96%,N/A,95%
02M033,P.S. 033 Chelsea Prep,65%,65%,N/A,82%,74%,86%,95%,85%,86%,91%,N/A,82%
02M040,P.S. 040 Augustus Saint-Gaudens,46%,42%,N/A,95%,94%,94%,98%,91%,98%,97%,N/A,94%
02M041,P.S. 041 Greenwich Village,52%,84%,N/A,93%,95%,95%,99%,92%,98%,97%,N/A,94%
02M042,P.S. 042 Benjamin Altman,92%,100%,N/A,96%,98%,92%,92%,91%,97%,97%,N/A,94%
02M047,47 The American Sign Language And English Secondary School,11%,95%,89%,81%,85%,82%,82%,71%,87%,90%,70%,84%
02M051,P.S. 051 Elias Howe,75%,77%,N/A,91%,92%,94%,94%,89%,93%,93%,N/A,91%
02M059,P.S. 059 Beekman Hill International,59%,68%,N/A,91%,91%,93%,97%,96%,91%,94%,N/A,92%
02M077,P.S. 77 Lower Lab School,89%,94%,N/A,91%,83%,96%,97%,94%,81%,90%,N/A,87%
02M089,P.S. 89,55%,77%,N/A,91%,91%,93%,97%,92%,97%,96%,N/A,92%
02M104,J.H.S. 104 Simon Baruch,76%,99%,95%,86%,90%,87%,83%,74%,90%,89%,73%,89%
02M111,P.S. 111 Adolph S. Ochs,74%,94%,92%,79%,84%,76%,90%,67%,89%,92%,67%,83%
02M114,East Side Middle School,71%,100%,100%,94%,97%,93%,89%,83%,95%,93%,81%,96%
02M116,P.S. 116 Mary Lindley Murray,38%,76%,N/A,92%,93%,92%,94%,87%,95%,92%,N/A,92%
02M124,P.S. 124 Yung Wing,98%,62%,N/A,72%,71%,71%,91%,80%,87%,95%,N/A,74%
02M126,P.S. 126 Jacob August Riis,42%,85%,99%,93%,94%,92%,91%,83%,96%,95%,83%,94%
02M130,P.S. 130 Hernando De Soto,74%,96%,N/A,93%,96%,94%,94%,91%,97%,95%,N/A,94%
02M131,M.S. 131,46%,88%,87%,88%,92%,82%,84%,77%,93%,94%,77%,88%
02M135,The Urban Assembly School For Emergency Management,30%,91%,83%,66%,73%,81%,81%,62%,79%,89%,65%,71%
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,38%,100%,96%,84%,92%,75%,83%,68%,90%,91%,70%,85%
02M150,P.S. 150,91%,100%,N/A,91%,96%,97%,98%,91%,95%,92%,N/A,94%
02M151,Yorkville Community School,55%,91%,N/A,92%,95%,94%,96%,91%,96%,94%,N/A,93%
02M158,P.S. 158 Bayard Taylor,58%,71%,N/A,80%,84%,87%,95%,77%,87%,95%,N/A,80%
02M167,J.H.S. 167 Robert F. Wagner,77%,91%,94%,80%,88%,82%,85%,76%,90%,90%,76%,85%
02M177,Yorkville East Middle School,76%,100%,95%,96%,99%,94%,94%,80%,95%,95%,79%,98%
02M183,P.S. 183 Robert L. Stevenson,49%,90%,N/A,86%,84%,85%,97%,86%,87%,93%,N/A,85%
02M198,P.S. 198 Isador E. Ida Straus,86%,56%,N/A,76%,77%,76%,97%,74%,86%,96%,N/A,76%
02M212,P.S. 212 Midtown West,94%,100%,N/A,96%,99%,99%,97%,98%,98%,96%,N/A,98%
02M217,P.S./I.S. 217 Roosevelt Island,61%,91%,88%,86%,89%,87%,93%,72%,86%,90%,71%,89%
02M225,Ella Baker School,39%,83%,72%,89%,83%,88%,96%,76%,90%,93%,74%,88%
02M234,P.S. 234 Independence School,72%,67%,N/A,89%,87%,93%,97%,90%,94%,95%,N/A,89%
02M255,M.S. 255 Salk School Of Science,69%,82%,96%,97%,99%,98%,95%,89%,97%,96%,88%,99%
02M260,M.S. 260 Clinton School Writers & Artists,56%,96%,93%,79%,80%,87%,89%,76%,90%,94%,77%,81%
02M267,"East Side Elementary School, Ps 267",65%,96%,N/A,89%,84%,91%,93%,88%,90%,88%,N/A,88%
02M276,Battery Park City School,38%,68%,86%,88%,92%,87%,94%,74%,91%,94%,72%,91%
02M280,Manhattan Early College School For Advertising,38%,93%,88%,86%,94%,75%,90%,70%,92%,94%,70%,89%
02M281,The River School,66%,100%,N/A,96%,96%,93%,98%,92%,96%,95%,N/A,95%
02M282,Urban Assembly Maker Academy,61%,94%,88%,93%,98%,88%,89%,73%,96%,94%,74%,96%
02M288,Food And Finance High School,43%,100%,77%,79%,72%,79%,75%,67%,84%,85%,69%,78%
02M289,I.S. 289,63%,90%,98%,94%,96%,91%,90%,81%,94%,94%,79%,96%
02M290,P.S. 290 Manhattan New School,60%,90%,N/A,96%,98%,97%,97%,96%,97%,95%,N/A,97%
02M294,Essex Street Academy,27%,100%,82%,92%,94%,84%,89%,80%,95%,94%,80%,92%
02M296,High School Of Hospitality Management,19%,93%,73%,80%,85%,83%,81%,73%,87%,87%,74%,83%
02M298,Pace High School,27%,97%,88%,76%,89%,82%,83%,71%,91%,92%,74%,83%
02M300,"Urban Assembly School Of Design And Construction, The",41%,92%,77%,76%,84%,69%,80%,65%,88%,88%,68%,79%
02M303,"Facing History School, The",49%,91%,87%,88%,92%,84%,86%,82%,94%,92%,83%,89%
02M305,"Urban Assembly Academy Of Government And Law, The",30%,100%,84%,75%,80%,71%,74%,61%,81%,83%,62%,78%
02M308,Lower Manhattan Arts Academy,16%,92%,75%,75%,86%,83%,79%,67%,81%,88%,69%,79%
02M312,New York City Lab Middle School For Collaborative Studies,58%,89%,96%,82%,83%,86%,92%,76%,88%,92%,76%,84%
02M313,"James Baldwin School, The: A School For Expeditionary Learning",18%,89%,49%,96%,98%,89%,81%,82%,98%,94%,82%,96%
02M316,"Urban Assembly School Of Business For Young Women, The",48%,45%,64%,74%,84%,74%,75%,59%,80%,80%,60%,79%
02M340,Sixth Avenue Elementary School,58%,90%,N/A,99%,100%,90%,98%,93%,99%,97%,N/A,97%
02M343,The Peck Slip School,90%,96%,N/A,98%,99%,90%,97%,92%,98%,96%,N/A,96%
02M347,The 47 American Sign Language & English Lower School,34%,55%,96%,69%,56%,70%,86%,67%,81%,86%,70%,66%
02M374,Gramercy Arts High School,30%,78%,88%,73%,62%,70%,74%,59%,75%,82%,61%,69%
02M376,Nyc Ischool,55%,100%,85%,90%,95%,88%,88%,80%,93%,92%,80%,93%
02M392,Manhattan Business Academy,28%,100%,76%,80%,91%,83%,80%,73%,87%,90%,75%,84%
02M393,Business Of Sports School,18%,88%,71%,75%,86%,83%,84%,69%,85%,91%,73%,81%
02M394,Emma Lazarus High School,81%,88%,78%,79%,79%,82%,84%,88%,84%,94%,89%,75%
02M397,Spruce Street School,61%,81%,89%,84%,89%,85%,95%,82%,88%,93%,80%,87%
02M399,The High School For Language And Diplomacy,13%,64%,84%,63%,64%,76%,77%,64%,77%,89%,66%,64%
02M400,High School For Environmental Studies,15%,94%,73%,81%,84%,84%,79%,68%,89%,88%,70%,85%
02M407,Institute For Collaborative Education,33%,85%,87%,97%,98%,94%,93%,86%,96%,95%,85%,97%
02M408,Professional Performing Arts High School,31%,62%,78%,85%,93%,89%,89%,70%,90%,90%,70%,92%
02M411,Baruch College Campus High School,39%,61%,95%,88%,75%,89%,81%,82%,86%,88%,81%,82%
02M412,N.Y.C. Lab School For Collaborative Studies,33%,78%,92%,92%,94%,90%,90%,79%,94%,94%,79%,94%
02M413,School Of The Future High School,38%,71%,92%,90%,90%,87%,86%,74%,89%,90%,74%,90%
02M414,N.Y.C. Museum School,14%,97%,96%,69%,67%,84%,79%,76%,81%,87%,77%,71%
02M416,Eleanor Roosevelt High School,47%,100%,92%,74%,79%,88%,88%,83%,86%,92%,84%,78%
02M418,Millennium High School,34%,93%,98%,82%,80%,89%,83%,83%,86%,91%,81%,81%
02M419,Landmark High School,27%,100%,54%,79%,85%,87%,88%,71%,90%,92%,71%,86%
02M420,High School For Health Professions And Human Services,40%,95%,91%,82%,85%,85%,81%,75%,88%,91%,78%,82%
02M422,Quest To Learn,34%,78%,84%,59%,57%,74%,81%,60%,71%,80%,64%,62%
02M425,Leadership And Public Service High School,12%,84%,42%,81%,83%,84%,78%,69%,86%,90%,70%,82%
02M427,Manhattan Academy For Arts & Language,65%,92%,91%,88%,91%,88%,80%,73%,88%,87%,74%,91%
02M432,Murray Hill Academy,67%,100%,86%,89%,91%,86%,80%,74%,89%,88%,74%,90%
02M437,Hudson High School Of Learning Technologies,19%,95%,70%,84%,87%,79%,76%,67%,87%,86%,70%,84%
02M438,International High School At Union Square,44%,89%,89%,86%,86%,85%,78%,80%,91%,91%,80%,86%
02M439,Manhattan Village Academy,42%,88%,98%,85%,91%,90%,93%,80%,88%,96%,81%,87%
02M442,"Ballet Tech, Nyc Public School For Dance",87%,70%,100%,99%,100%,97%,97%,84%,95%,98%,82%,100%
02M449,Vanguard High School,26%,100%,82%,92%,95%,94%,80%,79%,95%,91%,80%,95%
02M459,Manhattan International High School,66%,100%,87%,95%,97%,91%,89%,83%,96%,96%,83%,96%
02M473,Washington Irving Yabc,0%,91%,28%,90%,94%,88%,91%,79%,94%,N/A,80%,92%
02M475,Stuyvesant High School,60%,96%,95%,76%,83%,88%,83%,82%,87%,90%,82%,80%
02M489,High School Of Economics And Finance,26%,91%,89%,82%,84%,81%,80%,68%,85%,90%,69%,82%
02M500,Unity Center For Urban Technologies,73%,71%,85%,78%,84%,81%,89%,69%,87%,94%,72%,80%
02M507,Urban Assembly Gateway School For Technology,43%,97%,87%,85%,89%,87%,87%,77%,91%,94%,78%,87%
02M519,Talent Unlimited High School,15%,100%,83%,88%,88%,88%,77%,69%,84%,83%,70%,88%
02M520,Murry Bergtraum High School For Business Careers,13%,59%,52%,51%,54%,58%,72%,62%,77%,86%,66%,53%
02M527,Ps 527 - East Side School For Social Action,66%,100%,N/A,98%,99%,98%,98%,95%,100%,98%,N/A,98%
02M529,Jacqueline Kennedy Onassis High School,18%,65%,79%,61%,63%,65%,76%,58%,72%,88%,60%,61%
02M531,Repertory Company High School For Theatre Arts,35%,92%,92%,86%,97%,86%,84%,72%,90%,89%,72%,92%
02M533,Union Square Academy For Health Sciences,55%,77%,82%,77%,74%,78%,93%,70%,81%,98%,72%,72%
02M534,Harvest Collegiate High School,22%,72%,60%,90%,93%,85%,84%,71%,93%,92%,71%,92%
02M542,Manhattan Bridges High School,55%,91%,79%,88%,93%,91%,79%,84%,91%,89%,86%,90%
02M543,New Design High School,13%,88%,75%,75%,73%,71%,69%,73%,87%,81%,75%,76%
02M544,Independence High School,11%,33%,29%,72%,83%,59%,84%,74%,85%,92%,77%,72%
02M545,High School For Dual Language And Asian Studies,37%,52%,96%,83%,93%,91%,80%,80%,90%,91%,80%,89%
02M546,Academy For Software Engineering,46%,81%,75%,84%,89%,81%,87%,76%,90%,93%,78%,85%
02M550,Liberty High School Academy For Newcomers,22%,77%,94%,78%,76%,85%,81%,74%,84%,91%,75%,77%
02M551,Urban Assembly New York Harbor School,37%,100%,86%,80%,88%,75%,85%,69%,90%,91%,71%,83%
02M560,High School M560 - City As School,8%,75%,12%,84%,79%,87%,80%,82%,91%,87%,85%,83%
02M565,Urban Academy Laboratory High School,35%,93%,74%,99%,99%,95%,84%,93%,98%,91%,93%,98%
02M570,Satellite Academy High School,5%,50%,60%,90%,95%,97%,93%,92%,92%,91%,92%,93%
02M575,Manhattan Comprehensive Night And Day High School,22%,79%,60%,88%,93%,90%,79%,83%,93%,91%,84%,91%
02M580,Richard R. Green High School Of Teaching,33%,85%,79%,82%,85%,81%,82%,66%,86%,88%,69%,83%
02M586,Harvey Milk High School,12%,100%,67%,98%,99%,89%,94%,75%,96%,98%,74%,98%
02M600,The High School Of Fashion Industries,27%,95%,91%,87%,93%,85%,82%,71%,91%,91%,71%,90%
02M605,Humanities Preparatory Academy,31%,100%,63%,98%,97%,94%,77%,80%,92%,86%,79%,99%
02M615,Chelsea Career And Technical Education High School,26%,85%,87%,73%,77%,76%,77%,73%,85%,87%,74%,77%
02M625,High School Of Graphic Communication Arts,31%,89%,69%,75%,73%,80%,83%,59%,78%,90%,62%,73%
02M630,Art And Design High School,20%,51%,74%,76%,78%,76%,76%,68%,83%,87%,71%,76%
02M655,Life Sciences Secondary School,10%,51%,65%,65%,53%,59%,66%,59%,72%,77%,65%,57%
02M896,Lower Manhattan Community Middle School,47%,100%,96%,92%,96%,89%,92%,79%,93%,96%,78%,93%
02M933,City Knoll Middle School,40%,93%,95%,91%,97%,85%,86%,75%,91%,87%,75%,94%
03M009,P.S. 009 Sarah Anderson,72%,100%,N/A,99%,98%,97%,98%,98%,99%,97%,N/A,98%
03M054,J.H.S. 054 Booker T. Washington,56%,69%,96%,79%,89%,85%,91%,76%,88%,90%,77%,85%
03M075,P.S. 075 Emily Dickinson,39%,66%,N/A,87%,89%,93%,94%,88%,92%,92%,N/A,89%
03M076,P.S. 076 A. Philip Randolph,60%,82%,97%,86%,94%,91%,88%,89%,93%,92%,89%,90%
03M084,P.S. 084 Lillian Weber,48%,81%,N/A,91%,90%,81%,93%,83%,95%,93%,N/A,88%
03M087,P.S. 087 William Sherman,53%,85%,N/A,76%,79%,89%,96%,90%,87%,93%,N/A,83%
03M145,"P.S. 145, The Bloomingdale School",73%,100%,N/A,74%,83%,78%,88%,73%,81%,90%,N/A,77%
03M149,P.S. 149 Sojourner Truth,33%,100%,98%,52%,60%,61%,88%,60%,71%,87%,65%,56%
03M163,P.S. 163 Alfred E. Smith,60%,96%,N/A,79%,67%,76%,94%,79%,76%,90%,N/A,74%
03M165,P.S. 165 Robert E. Simon,50%,77%,84%,73%,75%,76%,88%,74%,81%,87%,75%,76%
03M166,P.S. 166 The Richard Rodgers School Of The Arts And Technology,68%,90%,N/A,85%,79%,90%,95%,88%,85%,91%,N/A,84%
03M180,P.S. 180 Hugo Newman,47%,100%,97%,75%,82%,77%,93%,70%,82%,92%,71%,77%
03M185,P.S. 185 - The Early Childhood Discovery And Design Magnet School,100%,95%,N/A,89%,96%,94%,94%,88%,93%,96%,N/A,91%
03M191,P.S. 191 Amsterdam,83%,100%,97%,82%,88%,86%,95%,79%,89%,94%,78%,86%
03M199,P.S. 199 Jessie Isador Straus,59%,76%,N/A,86%,85%,94%,97%,94%,90%,96%,N/A,88%
03M208,P.S. 208 Alain L. Locke,93%,94%,N/A,75%,82%,80%,91%,65%,87%,92%,N/A,76%
03M241,Stem Institute Of Manhattan,80%,91%,N/A,76%,80%,65%,91%,61%,88%,93%,N/A,72%
03M242,P.S. 242 - The Young Diplomats Magnet Academy,52%,83%,N/A,77%,75%,70%,89%,64%,88%,88%,N/A,75%
03M243,M.S. 243 Center School,83%,100%,100%,95%,96%,98%,95%,91%,95%,95%,90%,97%
03M245,M.S. M245 The Computer School,46%,69%,93%,83%,89%,91%,91%,82%,92%,94%,83%,87%
03M247,M.S. M247 Dual Language Middle School,68%,95%,99%,84%,94%,89%,92%,85%,93%,95%,86%,89%
03M250,M.S. 250 West Side Collaborative Middle School,53%,100%,97%,98%,96%,88%,92%,82%,95%,97%,80%,95%
03M256,M.S. 256 Academic & Athletic Excellence,44%,94%,90%,94%,96%,84%,93%,74%,90%,89%,73%,94%
03M258,Community Action School - Ms 258,70%,100%,94%,95%,97%,92%,88%,82%,91%,91%,80%,95%
03M291,West End Secondary School,87%,100%,95%,99%,100%,98%,100%,92%,99%,100%,91%,99%
03M299,"High School For Arts, Imagination And Inquiry",28%,75%,72%,76%,74%,86%,82%,66%,87%,91%,69%,79%
03M307,"Urban Assembly School For Media Studies, The",25%,100%,91%,93%,96%,92%,82%,76%,94%,92%,77%,95%
03M333,P.S. 333 Manhattan School For Children,77%,94%,96%,75%,74%,82%,95%,73%,84%,92%,73%,78%
03M334,The Anderson School,86%,100%,100%,87%,89%,90%,96%,83%,91%,93%,82%,91%
03M402,The Urban Assembly School For Green Careers,87%,93%,74%,79%,77%,76%,72%,68%,76%,79%,69%,77%
03M403,The Global Learning Collaborative,30%,92%,79%,74%,91%,79%,92%,64%,85%,96%,67%,80%
03M404,Innovation Diploma Plus,45%,100%,55%,81%,92%,87%,89%,72%,88%,92%,76%,85%
03M415,Wadleigh Secondary School For The Performing & Visual Arts,41%,87%,68%,79%,88%,82%,86%,68%,85%,89%,72%,83%
03M417,Frank Mccourt High School,29%,96%,89%,91%,87%,89%,85%,74%,87%,85%,74%,91%
03M421,West Prep Academy,57%,100%,78%,93%,97%,90%,91%,79%,94%,94%,78%,95%
03M452,P.S. 452,70%,100%,N/A,99%,98%,98%,96%,95%,97%,94%,N/A,97%
03M479,Beacon High School,29%,89%,86%,72%,74%,90%,82%,83%,83%,87%,83%,76%
03M485,Fiorello H. Laguardia High School Of Music & Art And Performing Arts,23%,79%,86%,63%,46%,74%,78%,66%,68%,81%,67%,57%
03M492,"High School For Law, Advocacy And Community Justice",31%,86%,76%,68%,76%,75%,89%,63%,83%,95%,65%,73%
03M494,High School Of Arts And Technology,36%,81%,47%,65%,55%,59%,84%,52%,76%,91%,56%,59%
03M505,Edward A. Reynolds West Side High School,9%,92%,34%,87%,87%,85%,78%,75%,91%,87%,78%,87%
03M541,Manhattan / Hunter Science High School,42%,83%,86%,86%,88%,87%,87%,78%,90%,93%,79%,87%
03M859,Special Music School,42%,82%,95%,97%,95%,91%,92%,84%,94%,91%,83%,97%
03M860,Frederick Douglass Academy Ii Secondary School,21%,94%,76%,58%,67%,71%,82%,63%,74%,89%,67%,62%
03M862,Mott Hall Ii,83%,95%,99%,90%,97%,88%,90%,81%,93%,94%,80%,92%
04M007,P.S. 007 Samuel Stern,30%,76%,55%,71%,81%,74%,86%,71%,88%,90%,74%,78%
04M012,Tag Young Scholars,64%,100%,99%,83%,88%,93%,93%,82%,84%,91%,81%,86%
04M037,River East Elementary,87%,91%,N/A,87%,76%,83%,92%,77%,92%,93%,N/A,82%
04M038,P.S. 38 Roberto Clemente,59%,92%,N/A,74%,75%,64%,88%,65%,85%,89%,N/A,72%
04M050,P.S. 050 Vito Marcantonio,38%,75%,89%,58%,49%,66%,74%,66%,65%,79%,70%,54%
04M057,James Weldon Johnson,58%,93%,87%,81%,89%,84%,89%,73%,88%,91%,73%,86%
04M072,The Lexington Academy,47%,75%,83%,86%,91%,88%,91%,75%,91%,93%,76%,89%
04M083,P.S. 083 Luis Munoz Rivera,61%,94%,N/A,85%,94%,88%,94%,82%,97%,94%,N/A,89%
04M096,P.S. 096 Joseph Lanzetta,47%,71%,98%,60%,68%,62%,79%,64%,75%,81%,68%,63%
04M102,P.S. 102 Jacques Cartier,59%,82%,N/A,80%,81%,79%,90%,71%,91%,92%,N/A,79%
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,55%,100%,89%,69%,76%,76%,88%,68%,82%,90%,72%,72%
04M112,P.S. 112 Jose Celso Barbosa,73%,98%,N/A,86%,88%,79%,92%,76%,90%,95%,N/A,82%
04M146,P.S. 146 Ann M. Short,29%,90%,N/A,58%,62%,62%,96%,62%,77%,99%,N/A,59%
04M155,P.S. 155 William Paca,56%,100%,N/A,76%,83%,77%,86%,76%,85%,91%,N/A,79%
04M171,P.S. 171 Patrick Henry,97%,56%,98%,88%,92%,92%,89%,88%,92%,95%,89%,89%
04M182,The Bilingual Bicultural School,61%,74%,N/A,83%,83%,86%,88%,82%,89%,92%,N/A,84%
04M206,P.S. 206 Jose Celso Barbosa,78%,100%,99%,80%,86%,78%,86%,72%,88%,91%,71%,83%
04M224,M.S. 224 Manhattan East School For Arts & Academics,46%,92%,92%,76%,90%,84%,88%,72%,88%,91%,72%,84%
04M372,Esperanza Preparatory Academy,79%,79%,88%,83%,95%,83%,91%,72%,91%,95%,75%,87%
04M375,Mosaic Preparatory Academy,44%,84%,N/A,73%,77%,80%,89%,70%,75%,94%,N/A,72%
04M377,Renaissance School Of The Arts,85%,95%,91%,83%,91%,84%,89%,73%,90%,93%,74%,87%
04M381,Global Neighborhood Secondary School,76%,100%,97%,78%,93%,83%,91%,78%,94%,94%,78%,87%
04M406,Global Technology Preparatory,41%,100%,97%,94%,99%,87%,86%,72%,92%,94%,71%,94%
04M409,Coalition School For Social Change,15%,79%,83%,86%,85%,85%,83%,67%,87%,83%,70%,88%
04M435,Manhattan Center For Science And Mathematics,89%,90%,96%,91%,89%,90%,76%,74%,87%,84%,74%,91%
04M495,Park East High School,49%,100%,95%,96%,95%,95%,85%,87%,93%,93%,87%,94%
04M497,Central Park East I,62%,50%,N/A,68%,45%,94%,96%,92%,53%,74%,N/A,69%
04M555,Central Park East High School,25%,91%,90%,93%,96%,92%,85%,84%,94%,92%,83%,95%
04M610,Young Women'S Leadership School,42%,81%,80%,96%,96%,93%,82%,84%,93%,90%,84%,96%
04M680,"Heritage School, The",47%,93%,73%,94%,96%,86%,86%,64%,88%,88%,64%,95%
04M825,Isaac Newton Middle School For Math & Science,72%,90%,96%,71%,83%,78%,88%,73%,89%,92%,73%,80%
04M964,Central Park East Ii,68%,88%,100%,93%,93%,92%,94%,80%,92%,93%,78%,92%
05M030,P.S. 030 Hernandez/Hughes,78%,100%,N/A,81%,82%,74%,87%,68%,86%,90%,N/A,77%
05M036,P.S. 036 Margaret Douglas,49%,77%,N/A,73%,72%,77%,89%,67%,83%,90%,N/A,72%
05M046,P.S. 046 Arthur Tappan,58%,91%,100%,74%,78%,75%,81%,73%,82%,86%,73%,78%
05M092,P.S. 092 Mary Mcleod Bethune,96%,86%,N/A,85%,85%,82%,93%,80%,88%,92%,N/A,84%
05M123,P.S. 123 Mahalia Jackson,33%,58%,89%,76%,77%,72%,81%,68%,83%,84%,70%,76%
05M125,P.S. 125 Ralph Bunche,55%,79%,N/A,94%,94%,87%,95%,83%,95%,97%,N/A,90%
05M129,P.S. 129 John H. Finley,22%,62%,65%,83%,84%,88%,85%,72%,86%,86%,72%,87%
05M133,P.S. 133 Fred R Moore,70%,95%,N/A,79%,69%,72%,90%,61%,87%,95%,N/A,70%
05M148,Eagle Academy For Young Men Of Harlem,25%,87%,8%,84%,92%,84%,92%,86%,94%,91%,84%,89%
05M154,P.S. 154 Harriet Tubman,56%,63%,N/A,85%,81%,90%,89%,86%,82%,88%,N/A,84%
05M157,The Urban Assembly School For Global Commerce,61%,100%,86%,70%,83%,77%,83%,59%,83%,90%,63%,77%
05M161,P.S. 161 Pedro Albizu Campos,54%,93%,83%,80%,83%,82%,85%,76%,88%,90%,78%,82%
05M175,P.S. 175 Henry H Garnet,96%,92%,N/A,88%,88%,80%,92%,78%,90%,93%,N/A,84%
05M194,P.S. 194 Countee Cullen,60%,89%,N/A,49%,34%,59%,87%,48%,51%,70%,N/A,48%
05M197,P.S. 197 John B. Russwurm,67%,100%,N/A,85%,87%,82%,95%,70%,93%,96%,N/A,82%
05M200,P.S. 200- The James Mccune Smith School,57%,85%,N/A,82%,81%,78%,86%,73%,87%,88%,N/A,80%
05M285,Harlem Renaissance High School,17%,93%,54%,69%,68%,68%,78%,71%,81%,88%,75%,66%
05M286,I.S. M286 Renaissance Leadership Academy,78%,91%,98%,72%,83%,75%,88%,81%,89%,93%,87%,75%
05M302,Kappa Iv,53%,86%,92%,78%,74%,78%,83%,65%,81%,89%,66%,77%
05M304,Mott Hall High School,88%,77%,96%,59%,74%,66%,90%,70%,79%,97%,73%,63%
05M318,Thurgood Marshall Academy Lower School,84%,100%,N/A,78%,77%,85%,94%,79%,86%,95%,N/A,79%
