DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",67%,88%,96%,3.28,3.80,3.96,N/A,3.74,2.97
01M650,CASCADES HIGH SCHOOL,16%,93%,64%,3.65,3.21,3.16,N/A,3.53,3.39
01M696,BARD HIGH SCHOOL EARLY COLLEGE,49%,71%,94%,N/A,N/A,N/A,N/A,N/A,3.60
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,51%,74%,97%,3.55,3.72,3.58,N/A,4.01,3.76
02M001,P.S. 001 ALFRED E. SMITH,76%,73%,N/A,3.20,3.11,3.08,N/A,4.10,4.16
02M002,P.S. 002 MEYER LONDON,76%,74%,N/A,3.58,3.97,3.22,N/A,4.10,4.07
02M003,P.S. 003 CHARRETTE SCHOOL,59%,100%,N/A,3.73,3.71,3.25,N/A,4.27,4.41
02M006,P.S. 006 LILLIE D. BLAKE,54%,61%,N/A,4.30,3.27,4.85,N/A,4.40,3.18
02M011,P.S. 011 WILLIAM T. HARRIS,64%,88%,N/A,4.43,3.80,4.45,N/A,4.40,3.97
02M033,P.S. 033 CHELSEA PREP,70%,73%,N/A,3.67,3.17,4.29,N/A,4.23,3.35
02M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,51%,70%,N/A,4.24,3.68,4.86,N/A,4.57,4.09
02M041,P.S. 041 GREENWICH VILLAGE,56%,100%,N/A,4.54,3.70,4.85,N/A,4.74,4.04
02M042,P.S. 042 BENJAMIN ALTMAN,85%,90%,N/A,4.07,4.52,4.44,N/A,4.40,4.63
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,24%,76%,96%,3.71,2.42,3.53,N/A,2.79,2.76
02M051,P.S. 051 ELIAS HOWE,71%,84%,N/A,4.24,3.13,3.63,N/A,4.49,3.84
02M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,59%,68%,N/A,4.54,3.75,4.92,N/A,4.57,3.91
02M077,P.S. 77 LOWER LAB SCHOOL,81%,78%,N/A,3.59,4.05,4.38,N/A,4.49,2.42
02M089,P.S. 89,49%,76%,N/A,4.57,3.95,4.94,N/A,4.49,4.61
02M104,J.H.S. 104 SIMON BARUCH,71%,89%,91%,3.59,3.23,3.82,N/A,2.86,3.43
02M111,P.S. 111 ADOLPH S. OCHS,39%,91%,N/A,3.51,3.44,3.04,N/A,3.84,3.65
02M114,EAST SIDE MIDDLE SCHOOL,64%,100%,98%,4.50,4.28,4.74,N/A,3.87,4.41
02M116,P.S. 116 MARY LINDLEY MURRAY,40%,86%,N/A,4.69,4.23,4.90,N/A,4.49,4.47
02M124,P.S. 124 YUNG WING,100%,98%,N/A,3.76,3.42,3.58,N/A,4.18,3.87
02M126,P.S. 126 JACOB AUGUST RIIS,57%,79%,95%,4.59,4.10,4.38,N/A,3.64,4.14
02M130,P.S. 130 HERNANDO DE SOTO,75%,100%,N/A,3.99,4.39,3.72,N/A,4.32,4.43
02M131,M.S. 131,61%,92%,92%,4.38,4.05,3.86,N/A,3.72,4.23
02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,41%,100%,94%,3.42,3.42,3.85,N/A,3.40,3.55
02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,33%,100%,88%,3.52,4.17,3.25,N/A,3.21,2.99
02M150,P.S. 150,88%,100%,N/A,4.97,4.23,4.23,N/A,4.66,4.45
02M151,YORKVILLE COMMUNITY SCHOOL,75%,100%,N/A,4.69,4.18,4.94,N/A,4.57,4.24
02M158,P.S. 158 BAYARD TAYLOR,69%,84%,N/A,4.25,3.47,4.71,N/A,4.23,3.86
02M167,J.H.S. 167 ROBERT F. WAGNER,56%,92%,83%,3.81,2.96,4.02,N/A,2.68,3.13
02M177,YORKVILLE EAST MIDDLE SCHOOL,44%,100%,92%,4.66,3.65,3.98,N/A,3.89,3.85
02M183,P.S. 183 ROBERT L. STEVENSON,52%,58%,N/A,N/A,N/A,N/A,N/A,N/A,3.96
02M198,P.S. 198 ISADOR E. IDA STRAUS,92%,71%,N/A,3.58,3.60,3.31,N/A,4.35,4.13
02M212,P.S. 212 MIDTOWN WEST,85%,100%,N/A,4.83,4.50,4.51,N/A,4.49,4.41
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,63%,100%,97%,4.58,4.05,4.39,N/A,4.23,3.60
02M225,ELLA BAKER SCHOOL,87%,100%,98%,3.60,3.54,3.60,N/A,4.49,3.59
02M234,P.S. 234 INDEPENDENCE SCHOOL,66%,73%,N/A,4.65,3.75,4.48,N/A,4.49,4.52
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,69%,88%,97%,4.74,4.84,4.17,N/A,4.26,4.79
02M260,THE CLINTON SCHOOL,46%,94%,60%,3.19,3.46,4.26,N/A,2.19,3.15
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",55%,86%,N/A,4.34,3.43,4.91,N/A,4.06,3.52
02M276,BATTERY PARK CITY SCHOOL,51%,90%,96%,N/A,N/A,N/A,N/A,N/A,3.71
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,26%,68%,51%,3.67,3.14,3.33,N/A,4.00,3.16
02M281,THE RIVER SCHOOL,75%,81%,N/A,4.22,3.67,3.71,N/A,4.57,4.02
02M282,URBAN ASSEMBLY MAKER ACADEMY,46%,100%,80%,3.50,3.78,3.14,N/A,4.00,4.06
02M288,FOOD AND FINANCE HIGH SCHOOL,24%,86%,75%,2.33,2.54,2.92,N/A,1.92,2.55
02M289,I.S. 289,58%,100%,98%,4.18,3.70,4.00,N/A,3.83,3.65
02M290,P.S. 290 MANHATTAN NEW SCHOOL,53%,88%,N/A,4.00,2.48,4.45,N/A,4.23,2.85
02M294,ESSEX STREET ACADEMY,40%,100%,88%,4.72,4.38,4.44,N/A,4.21,4.55
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,3%,45%,62%,N/A,N/A,N/A,N/A,N/A,N/A
02M297,M.S. 297,44%,68%,91%,3.53,3.82,3.40,N/A,3.76,3.20
02M298,PACE HIGH SCHOOL,26%,95%,80%,3.71,3.35,3.75,N/A,3.21,3.38
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",56%,100%,87%,N/A,N/A,N/A,N/A,N/A,4.33
02M303,"FACING HISTORY SCHOOL, THE",30%,100%,84%,4.40,4.23,3.85,N/A,3.95,4.37
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50%,100%,87%,3.73,4.22,3.43,N/A,4.55,3.72
02M308,LOWER MANHATTAN ARTS ACADEMY,30%,93%,77%,3.23,2.80,3.47,N/A,1.96,1.85
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,51%,65%,94%,4.33,3.45,3.64,N/A,3.77,4.02
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",26%,95%,54%,3.73,3.66,3.61,N/A,3.59,3.90
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",27%,87%,36%,3.73,3.96,3.08,N/A,3.34,4.22
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,71%,100%,N/A,3.54,4.04,4.13,N/A,4.49,3.98
02M343,THE PECK SLIP SCHOOL,81%,82%,N/A,3.90,3.75,4.16,N/A,4.40,3.85
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,29%,83%,80%,2.13,2.50,3.26,N/A,2.82,2.00
02M374,GRAMERCY ARTS HIGH SCHOOL,18%,69%,91%,3.03,2.97,2.88,N/A,2.61,2.51
02M376,NYC ISCHOOL,66%,97%,93%,4.46,3.90,4.44,N/A,3.78,4.27
02M392,MANHATTAN BUSINESS ACADEMY,28%,97%,79%,4.29,3.62,4.65,N/A,2.45,3.51
02M393,BUSINESS OF SPORTS SCHOOL,16%,95%,71%,3.28,3.47,3.35,N/A,3.74,3.65
02M394,EMMA LAZARUS HIGH SCHOOL,79%,95%,97%,3.00,3.17,3.31,N/A,3.62,3.33
02M397,SPRUCE STREET SCHOOL,68%,98%,81%,4.41,4.41,4.08,N/A,4.23,3.55
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,10%,74%,74%,2.42,2.56,2.39,N/A,1.73,2.19
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,15%,81%,70%,3.80,4.38,3.95,N/A,3.56,3.67
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,26%,26%,86%,N/A,N/A,N/A,N/A,N/A,N/A
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,50%,89%,82%,3.83,3.73,3.37,N/A,3.30,3.31
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,39%,93%,78%,3.04,2.74,3.65,N/A,3.59,2.68
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,43%,79%,94%,4.48,4.07,4.39,N/A,4.23,4.04
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,43%,80%,82%,N/A,N/A,N/A,N/A,N/A,3.18
02M414,N.Y.C. MUSEUM SCHOOL,27%,87%,93%,3.11,2.98,3.88,N/A,3.02,2.14
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,53%,80%,92%,3.62,3.78,4.49,N/A,4.05,3.93
02M418,MILLENNIUM HIGH SCHOOL,38%,98%,94%,3.32,3.43,2.86,N/A,3.26,3.39
02M419,LANDMARK HIGH SCHOOL,31%,100%,75%,3.99,4.22,3.42,N/A,3.70,3.84
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,52%,94%,90%,N/A,N/A,N/A,N/A,N/A,3.41
02M422,QUEST TO LEARN,24%,100%,73%,3.96,3.42,3.14,N/A,3.30,3.85
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,21%,87%,72%,3.43,3.02,2.52,N/A,2.94,3.44
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,60%,90%,89%,3.88,4.17,3.78,N/A,3.77,3.64
02M432,MURRAY HILL ACADEMY,21%,92%,74%,4.41,4.41,4.74,N/A,3.38,3.76
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,5%,94%,78%,2.77,2.84,3.05,N/A,2.34,2.06
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,24%,82%,90%,3.95,3.64,3.67,N/A,3.43,4.23
02M439,MANHATTAN VILLAGE ACADEMY,51%,80%,93%,4.21,3.78,4.77,N/A,4.18,3.62
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",77%,82%,100%,3.98,4.63,4.23,N/A,4.40,4.42
02M449,VANGUARD HIGH SCHOOL,9%,97%,82%,3.93,3.69,3.70,N/A,3.79,3.92
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,91%,100%,91%,4.67,4.48,4.77,N/A,4.17,4.41
02M473,WASHINGTON IRVING YABC,67%,78%,69%,3.38,3.70,3.43,N/A,4.09,4.28
02M475,STUYVESANT HIGH SCHOOL,37%,72%,89%,N/A,N/A,N/A,N/A,N/A,4.07
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,20%,87%,79%,N/A,N/A,N/A,N/A,N/A,3.62
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,92%,83%,95%,3.69,3.93,3.68,N/A,3.53,4.19
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,82%,100%,90%,4.55,3.78,4.51,N/A,3.89,4.07
02M519,TALENT UNLIMITED HIGH SCHOOL,31%,100%,84%,3.03,3.24,3.45,N/A,3.74,3.21
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,3%,87%,62%,2.84,2.61,2.48,N/A,3.22,2.60
02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,62%,100%,N/A,3.98,4.32,4.17,N/A,4.66,4.66
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,11%,79%,65%,2.92,3.24,2.09,N/A,1.92,2.16
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,31%,81%,0%,3.63,2.12,4.18,N/A,2.83,3.21
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,78%,81%,77%,3.35,3.91,4.16,N/A,4.15,3.55
02M534,HARVEST COLLEGIATE HIGH SCHOOL,28%,84%,55%,3.70,3.95,3.20,N/A,3.89,3.55
02M542,MANHATTAN BRIDGES HIGH SCHOOL,63%,94%,76%,4.36,3.87,4.90,N/A,3.83,3.91
02M543,NEW DESIGN HIGH SCHOOL,8%,83%,76%,3.47,3.74,3.88,N/A,1.85,3.85
02M544,INDEPENDENCE HIGH SCHOOL,1%,80%,10%,3.91,3.48,3.59,N/A,N/A,N/A
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,68%,76%,98%,2.76,3.25,3.61,N/A,2.30,3.72
02M546,ACADEMY FOR SOFTWARE ENGINEERING,40%,100%,74%,3.82,4.38,3.85,N/A,3.85,3.88
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,45%,77%,79%,3.22,3.82,3.57,N/A,3.48,3.01
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,44%,98%,65%,3.21,4.00,2.27,N/A,3.48,3.89
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,11%,86%,29%,4.34,4.31,4.70,N/A,3.30,4.00
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,49%,100%,73%,4.35,4.59,4.57,N/A,3.87,4.32
02M570,SATELLITE ACADEMY HIGH SCHOOL,4%,69%,17%,3.72,2.16,4.41,N/A,2.71,3.02
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,23%,91%,84%,4.47,4.05,4.09,N/A,3.66,4.31
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,20%,81%,74%,3.19,3.43,3.28,N/A,3.84,3.87
02M586,HARVEY MILK HIGH SCHOOL,38%,100%,60%,4.04,4.02,3.59,N/A,4.62,4.50
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,26%,96%,91%,N/A,N/A,N/A,N/A,N/A,3.80
02M605,HUMANITIES PREPARATORY ACADEMY,30%,83%,74%,4.77,4.30,4.01,N/A,3.71,4.46
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,25%,86%,73%,2.62,2.51,2.93,N/A,3.15,3.02
02M630,ART AND DESIGN HIGH SCHOOL,29%,99%,79%,3.21,3.36,2.96,N/A,3.35,2.41
02M655,LIFE SCIENCES SECONDARY SCHOOL,16%,91%,70%,3.65,3.88,2.33,N/A,3.45,3.98
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,68%,97%,96%,4.51,4.38,3.96,N/A,4.32,4.58
02M933,CITY KNOLL MIDDLE SCHOOL,20%,61%,90%,2.70,1.35,2.94,N/A,3.30,2.73
03M009,P.S. 009 SARAH ANDERSON,73%,100%,N/A,4.72,4.66,4.94,N/A,4.49,4.65
03M054,J.H.S. 054 BOOKER T. WASHINGTON,56%,71%,36%,3.64,3.63,4.44,N/A,3.88,3.61
03M075,P.S. 075 EMILY DICKINSON,53%,81%,N/A,3.88,3.52,3.87,N/A,4.18,3.91
03M076,P.S. 076 A. PHILIP RANDOLPH,69%,100%,89%,3.52,3.87,3.89,N/A,4.15,4.12
03M084,P.S. 084 LILLIAN WEBER,91%,100%,N/A,4.50,3.81,3.55,N/A,3.89,3.62
03M087,P.S. 087 WILLIAM SHERMAN,69%,92%,N/A,4.09,3.92,4.08,N/A,4.57,3.73
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",81%,97%,N/A,3.18,3.46,3.33,N/A,4.10,3.10
03M149,P.S. 149 SOJOURNER TRUTH,92%,58%,99%,3.47,3.57,3.38,N/A,3.59,3.54
03M163,P.S. 163 ALFRED E. SMITH,50%,89%,N/A,3.73,3.28,3.83,N/A,3.76,2.97
03M165,P.S. 165 ROBERT E. SIMON,80%,100%,N/A,3.56,3.43,3.93,N/A,4.01,3.47
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,67%,82%,N/A,3.25,3.27,4.08,N/A,4.01,2.33
03M180,P.S. 180 HUGO NEWMAN,31%,96%,86%,3.21,3.16,2.64,N/A,3.76,2.21
03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,92%,94%,N/A,3.39,3.79,3.47,N/A,4.32,3.45
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,91%,95%,97%,3.09,3.10,3.33,N/A,4.01,3.51
03M199,P.S. 199 JESSIE ISADOR STRAUS,51%,88%,N/A,N/A,N/A,N/A,N/A,N/A,3.25
03M241,STEM INSTITUTE OF MANHATTAN,47%,94%,N/A,N/A,N/A,N/A,N/A,N/A,2.25
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,71%,100%,N/A,3.18,3.35,3.29,N/A,3.76,3.68
03M243,M.S. 243 CENTER SCHOOL,100%,100%,94%,3.98,4.34,3.85,N/A,4.00,4.34
03M245,M.S. M245 THE COMPUTER SCHOOL,64%,93%,92%,N/A,N/A,N/A,N/A,N/A,4.16
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,70%,100%,97%,4.28,4.01,4.47,N/A,4.70,4.26
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,65%,94%,95%,N/A,N/A,N/A,N/A,N/A,4.42
03M256,LAFAYETTE ACADEMY,54%,100%,92%,3.84,4.04,3.58,N/A,4.06,4.65
03M258,COMMUNITY ACTION SCHOOL - MS 258,51%,100%,97%,N/A,N/A,N/A,N/A,N/A,3.90
03M291,WEST END SECONDARY SCHOOL,75%,100%,98%,3.81,4.55,4.82,N/A,4.57,4.18
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,17%,81%,59%,2.30,2.66,1.76,N/A,2.55,1.95
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",63%,93%,96%,4.72,4.06,4.03,N/A,3.48,4.27
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,58%,100%,78%,2.98,2.57,3.99,N/A,3.98,2.32
03M334,THE ANDERSON SCHOOL,80%,100%,98%,3.99,2.63,4.76,N/A,4.32,3.57
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,97%,100%,81%,4.57,4.20,4.28,N/A,3.16,3.51
03M403,THE GLOBAL LEARNING COLLABORATIVE,33%,83%,71%,4.28,4.10,3.47,N/A,3.24,3.76
03M404,INNOVATION DIPLOMA PLUS,43%,100%,69%,N/A,N/A,N/A,N/A,N/A,3.88
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,81%,97%,92%,3.11,3.32,2.40,N/A,4.34,3.67
03M417,FRANK MCCOURT HIGH SCHOOL,43%,93%,74%,3.97,3.44,3.58,N/A,3.31,3.25
03M421,WEST PREP ACADEMY,49%,90%,90%,4.25,3.98,3.41,N/A,3.68,3.67
03M452,P.S. 452,58%,93%,N/A,3.95,3.32,3.88,N/A,4.40,3.78
03M479,BEACON HIGH SCHOOL,33%,36%,85%,3.11,2.96,3.74,N/A,2.85,2.50
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,21%,63%,91%,3.28,3.39,4.50,N/A,2.45,1.46
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",56%,88%,85%,4.20,3.44,3.93,N/A,3.09,3.49
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,22%,81%,82%,2.05,2.14,1.55,N/A,2.45,2.80
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,13%,97%,38%,3.16,3.25,2.86,N/A,3.51,3.63
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,68%,96%,90%,N/A,N/A,N/A,N/A,N/A,3.63
03M859,SPECIAL MUSIC SCHOOL,65%,70%,94%,4.62,3.99,4.85,N/A,3.83,4.02
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,34%,59%,69%,2.70,2.76,2.79,N/A,3.66,3.19
03M862,MOTT HALL II,67%,96%,97%,4.28,4.43,4.15,N/A,4.03,3.62
04M007,P.S. 007 SAMUEL STERN,46%,67%,88%,2.77,1.83,3.46,N/A,2.48,2.53
04M012,TAG YOUNG SCHOLARS,64%,87%,95%,3.58,3.58,4.66,N/A,3.30,2.54
04M037,RIVER EAST ELEMENTARY,67%,91%,N/A,4.70,4.50,4.33,N/A,4.15,4.36
04M038,P.S. 38 ROBERTO CLEMENTE,100%,100%,N/A,3.55,3.80,3.39,N/A,3.59,3.36
04M057,JAMES WELDON JOHNSON,52%,84%,96%,2.39,2.70,2.92,N/A,2.99,2.46
04M072,THE LEXINGTON ACADEMY,17%,70%,88%,3.62,2.14,3.69,N/A,3.21,3.01
04M083,P.S. 083 LUIS MUNOZ RIVERA,58%,94%,N/A,4.28,3.92,3.66,N/A,4.40,4.30
04M096,P.S. 096 JOSEPH LANZETTA,57%,88%,94%,2.85,3.34,3.40,N/A,3.16,3.40
04M102,P.S. 102 JACQUES CARTIER,36%,83%,N/A,2.31,2.50,1.80,N/A,2.82,1.45
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,52%,100%,98%,3.73,3.42,2.83,N/A,3.93,4.10
04M112,P.S. 112 JOSE CELSO BARBOSA,65%,94%,N/A,4.19,3.60,4.25,N/A,4.40,3.91
04M146,P.S. 146 ANN M. SHORT,31%,75%,N/A,3.36,3.46,2.64,N/A,4.44,4.38
04M155,P.S. 155 WILLIAM PACA,80%,93%,N/A,2.58,2.89,3.09,N/A,2.99,2.62
04M171,P.S. 171 PATRICK HENRY,100%,54%,97%,4.44,4.02,4.82,N/A,4.40,4.06
04M182,THE BILINGUAL BICULTURAL SCHOOL,80%,85%,N/A,3.92,3.74,3.33,N/A,3.93,3.87
04M206,P.S. 206 JOSE CELSO BARBOSA,86%,96%,99%,3.38,3.38,3.31,N/A,3.76,3.68
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,59%,94%,95%,N/A,N/A,N/A,N/A,N/A,3.27
04M310,THE JUDITH S. KAYE HIGH SCHOOL,3%,100%,24%,4.20,4.10,3.69,N/A,N/A,N/A
04M372,ESPERANZA PREPARATORY ACADEMY,50%,88%,86%,3.46,3.55,3.51,N/A,3.22,3.49
04M375,MOSAIC PREPARATORY ACADEMY,63%,80%,N/A,3.29,3.73,3.48,N/A,3.81,2.35
04M377,RENAISSANCE SCHOOL OF THE ARTS,96%,82%,90%,4.38,3.86,3.64,N/A,3.87,3.77
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,92%,89%,92%,4.86,4.73,4.95,N/A,3.21,4.00
04M495,PARK EAST HIGH SCHOOL,58%,100%,92%,4.54,3.97,4.07,N/A,3.92,3.92
04M497,CENTRAL PARK EAST I,49%,50%,N/A,2.05,2.48,2.29,N/A,3.96,3.21
04M555,CENTRAL PARK EAST HIGH SCHOOL,32%,100%,92%,4.77,4.54,4.82,N/A,4.05,4.33
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,48%,100%,78%,4.76,4.32,4.46,N/A,3.51,4.23
04M680,"HERITAGE SCHOOL, THE",75%,100%,95%,3.88,3.92,2.64,N/A,2.81,3.39
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,48%,100%,68%,2.81,3.29,2.53,N/A,3.60,3.68
04M964,CENTRAL PARK EAST II,48%,74%,77%,N/A,N/A,N/A,N/A,N/A,3.36
05M030,P.S. 030 HERNANDEZ/HUGHES,82%,100%,N/A,3.82,3.67,3.40,N/A,4.01,3.97
05M036,P.S. 036 MARGARET DOUGLAS,36%,65%,N/A,2.96,2.62,3.00,N/A,4.10,2.82
05M046,P.S. 046 ARTHUR TAPPAN,65%,72%,90%,3.01,2.90,2.78,N/A,4.01,3.52
05M092,P.S. 092 MARY MCLEOD BETHUNE,97%,82%,N/A,3.98,3.37,3.51,N/A,3.72,3.26
05M123,P.S. 123 MAHALIA JACKSON,100%,69%,97%,3.08,3.54,2.77,N/A,3.84,3.46
