DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",53%,84%,91%,4.04,4.51,3.61,N/A,4.69,3.89
02M308,LOWER MANHATTAN ARTS ACADEMY,36%,93%,63%,3.96,3.65,3.79,N/A,1.60,2.62
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,55%,89%,95%,4.21,3.27,3.60,N/A,4.08,4.03
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",32%,95%,52%,N/A,N/A,N/A,N/A,N/A,4.24
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",15%,89%,68%,3.31,3.68,2.65,N/A,3.70,3.81
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,62%,100%,N/A,3.56,4.03,4.01,N/A,4.57,4.15
02M343,THE PECK SLIP SCHOOL,82%,89%,N/A,4.02,4.07,4.13,N/A,4.40,4.10
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,39%,76%,97%,2.10,2.74,3.19,N/A,3.03,3.22
02M374,GRAMERCY ARTS HIGH SCHOOL,13%,92%,91%,3.11,3.17,3.12,N/A,2.57,2.78
02M376,NYC ISCHOOL,43%,97%,76%,4.41,3.94,4.37,N/A,3.89,4.30
02M392,MANHATTAN BUSINESS ACADEMY,37%,100%,87%,4.30,3.73,4.60,N/A,2.43,3.64
02M393,BUSINESS OF SPORTS SCHOOL,17%,84%,90%,3.03,3.47,3.43,N/A,3.64,3.33
02M394,EMMA LAZARUS HIGH SCHOOL,79%,95%,89%,3.59,3.66,3.63,N/A,3.55,3.50
02M397,SPRUCE STREET SCHOOL,77%,86%,67%,4.14,3.68,3.99,N/A,4.45,3.73
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,14%,46%,76%,N/A,N/A,N/A,N/A,N/A,1.69
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,17%,85%,60%,3.81,4.42,3.88,N/A,2.99,3.60
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,29%,56%,87%,4.73,4.02,4.82,N/A,4.31,4.11
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,37%,79%,70%,N/A,N/A,N/A,N/A,N/A,3.42
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,45%,100%,72%,3.62,3.15,3.56,N/A,3.28,3.35
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,41%,93%,78%,4.66,4.33,4.46,N/A,4.48,4.11
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,47%,81%,90%,4.24,3.42,4.26,N/A,3.67,3.23
02M414,N.Y.C. MUSEUM SCHOOL,16%,96%,89%,2.49,2.52,3.52,N/A,1.85,1.63
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,61%,94%,91%,4.06,4.01,4.45,N/A,4.32,4.34
02M418,MILLENNIUM HIGH SCHOOL,35%,100%,96%,3.41,3.49,2.89,N/A,3.54,3.61
02M419,LANDMARK HIGH SCHOOL,24%,100%,82%,4.14,4.35,3.59,N/A,4.09,4.22
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,44%,94%,89%,4.07,2.78,3.91,N/A,2.07,3.08
02M422,QUEST TO LEARN,25%,98%,34%,3.76,3.38,3.13,N/A,3.67,3.47
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,18%,84%,53%,3.25,2.88,2.29,N/A,3.91,3.35
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,47%,96%,75%,3.67,3.76,3.62,N/A,3.66,3.35
02M432,MURRAY HILL ACADEMY,32%,100%,81%,N/A,N/A,N/A,N/A,N/A,3.59
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,11%,82%,69%,3.51,3.24,3.08,N/A,1.76,3.05
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,47%,81%,84%,3.82,3.62,3.66,N/A,2.74,4.18
02M439,MANHATTAN VILLAGE ACADEMY,46%,76%,88%,3.71,3.25,4.81,N/A,4.31,3.02
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",66%,100%,99%,3.81,4.10,4.46,N/A,4.38,4.54
02M449,VANGUARD HIGH SCHOOL,24%,100%,81%,4.60,3.80,4.47,N/A,2.83,4.09
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,54%,92%,79%,4.79,4.52,4.74,N/A,4.02,4.41
02M473,WASHINGTON IRVING YABC,42%,89%,66%,3.51,4.20,3.68,N/A,3.50,4.52
02M475,STUYVESANT HIGH SCHOOL,40%,80%,91%,3.57,4.08,4.12,N/A,3.97,4.00
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,26%,98%,90%,3.51,3.55,3.45,N/A,2.99,3.22
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,75%,100%,93%,3.63,4.03,3.33,N/A,3.48,3.95
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,59%,100%,94%,4.39,3.80,4.37,N/A,4.44,3.99
02M519,TALENT UNLIMITED HIGH SCHOOL,32%,84%,77%,3.17,3.18,3.48,N/A,3.59,2.84
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,39%,100%,75%,2.56,2.54,2.22,N/A,3.56,2.48
02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,62%,100%,N/A,4.02,4.47,4.11,N/A,4.62,4.76
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,12%,82%,39%,2.26,2.82,1.78,N/A,2.67,2.33
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,28%,67%,74%,3.77,3.14,4.58,N/A,4.26,3.14
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,74%,85%,79%,4.06,3.28,4.27,N/A,4.57,3.65
02M534,HARVEST COLLEGIATE HIGH SCHOOL,33%,97%,58%,3.67,4.08,3.06,N/A,3.89,4.13
02M542,MANHATTAN BRIDGES HIGH SCHOOL,59%,94%,83%,4.43,3.91,4.67,N/A,3.83,4.02
02M543,NEW DESIGN HIGH SCHOOL,8%,98%,63%,N/A,N/A,N/A,N/A,N/A,3.62
02M544,INDEPENDENCE HIGH SCHOOL,9%,100%,11%,N/A,N/A,N/A,N/A,N/A,3.72
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,29%,50%,94%,3.22,3.63,3.79,N/A,3.08,4.01
02M546,ACADEMY FOR SOFTWARE ENGINEERING,41%,100%,87%,4.10,4.67,3.91,N/A,3.90,3.81
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,34%,67%,71%,3.77,4.08,3.58,N/A,3.72,3.13
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,38%,79%,74%,2.60,3.68,2.20,N/A,3.72,3.52
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,4%,87%,19%,4.54,4.45,4.80,N/A,3.57,3.70
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,48%,100%,61%,N/A,N/A,N/A,N/A,N/A,4.71
02M570,SATELLITE ACADEMY HIGH SCHOOL,5%,69%,12%,4.13,2.49,4.53,N/A,2.51,2.94
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,26%,91%,79%,4.48,4.07,4.10,N/A,3.60,4.13
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,19%,78%,68%,2.86,3.40,3.16,N/A,3.53,3.70
02M586,HARVEY MILK HIGH SCHOOL,27%,100%,63%,N/A,N/A,N/A,N/A,N/A,4.87
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,36%,96%,89%,4.29,3.83,3.94,N/A,4.28,3.85
02M605,HUMANITIES PREPARATORY ACADEMY,44%,93%,74%,4.90,4.35,4.03,N/A,4.40,4.83
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,22%,97%,85%,N/A,N/A,N/A,N/A,N/A,2.68
02M630,ART AND DESIGN HIGH SCHOOL,33%,99%,75%,2.81,3.16,2.98,N/A,2.89,2.18
02M655,LIFE SCIENCES SECONDARY SCHOOL,16%,74%,75%,N/A,N/A,N/A,N/A,N/A,N/A
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,56%,97%,96%,4.49,4.26,3.97,N/A,4.62,4.39
02M933,CITY KNOLL MIDDLE SCHOOL,22%,95%,88%,2.70,1.74,3.24,N/A,2.64,1.97
03M009,P.S. 009 SARAH ANDERSON,72%,100%,N/A,4.81,4.83,4.82,N/A,4.69,4.80
03M054,J.H.S. 054 BOOKER T. WASHINGTON,61%,83%,96%,N/A,N/A,N/A,N/A,N/A,3.52
03M075,P.S. 075 EMILY DICKINSON,45%,82%,N/A,N/A,N/A,N/A,N/A,N/A,3.65
03M076,P.S. 076 A. PHILIP RANDOLPH,65%,91%,98%,3.66,3.86,4.06,N/A,4.09,4.24
03M084,P.S. 084 LILLIAN WEBER,61%,100%,N/A,4.58,3.64,3.59,N/A,4.06,3.81
03M087,P.S. 087 WILLIAM SHERMAN,75%,87%,N/A,3.65,3.68,3.93,N/A,4.53,3.09
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",72%,100%,N/A,3.06,3.32,3.07,N/A,3.70,2.67
03M149,P.S. 149 SOJOURNER TRUTH,79%,83%,95%,N/A,N/A,N/A,N/A,N/A,3.00
03M163,P.S. 163 ALFRED E. SMITH,55%,100%,N/A,3.89,3.46,3.85,N/A,4.09,3.01
03M165,P.S. 165 ROBERT E. SIMON,57%,52%,89%,3.52,3.48,3.90,N/A,4.10,3.50
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,74%,91%,N/A,3.42,3.38,3.95,N/A,4.07,2.43
03M180,P.S. 180 HUGO NEWMAN,44%,91%,96%,N/A,N/A,N/A,N/A,N/A,1.95
03M185,P.S. 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL,98%,100%,N/A,3.02,3.01,3.46,N/A,3.98,3.33
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,89%,90%,98%,3.48,3.47,3.44,N/A,4.09,3.76
03M199,P.S. 199 JESSIE ISADOR STRAUS,55%,83%,N/A,4.21,2.83,4.86,N/A,4.22,2.92
03M208,THE ALAIN L. LOCKE MAGNET SCHOOL FOR ENVIRONMENTAL STEWARDSHIP,74%,93%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03M241,STEM INSTITUTE OF MANHATTAN,62%,100%,N/A,1.99,2.54,2.40,N/A,3.01,2.73
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,72%,100%,N/A,3.13,3.37,3.40,N/A,3.93,3.56
03M243,M.S. 243 CENTER SCHOOL,99%,100%,98%,3.94,4.38,3.84,N/A,4.23,4.47
03M245,M.S. M245 THE COMPUTER SCHOOL,65%,79%,94%,4.11,2.90,4.35,N/A,4.17,3.60
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,76%,86%,95%,4.49,4.03,4.45,N/A,4.46,4.35
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,40%,94%,94%,4.83,4.64,3.43,N/A,4.20,4.08
03M256,LAFAYETTE ACADEMY,34%,85%,94%,3.93,3.87,3.62,N/A,3.98,4.34
03M258,COMMUNITY ACTION SCHOOL - MS 258,57%,100%,93%,4.72,4.62,3.95,N/A,4.15,4.05
03M291,WEST END SECONDARY SCHOOL,73%,100%,93%,3.75,4.20,4.80,N/A,4.48,4.25
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,14%,82%,78%,N/A,N/A,N/A,N/A,N/A,2.60
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",23%,97%,93%,4.73,4.17,4.09,N/A,3.77,4.30
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,67%,100%,98%,3.03,2.64,3.99,N/A,4.36,2.44
03M334,THE ANDERSON SCHOOL,88%,96%,99%,3.66,2.66,4.66,N/A,4.53,3.23
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,69%,100%,80%,4.55,4.34,4.21,N/A,3.06,3.74
03M403,THE GLOBAL LEARNING COLLABORATIVE,48%,88%,82%,4.39,4.08,3.48,N/A,4.50,4.01
03M404,INNOVATION DIPLOMA PLUS,25%,100%,67%,3.91,2.72,3.14,N/A,3.20,3.15
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,45%,94%,90%,N/A,N/A,N/A,N/A,N/A,3.26
03M417,FRANK MCCOURT HIGH SCHOOL,37%,100%,92%,4.12,3.60,3.56,N/A,3.87,3.11
03M421,WEST PREP ACADEMY,54%,95%,84%,4.47,4.13,3.54,N/A,3.95,3.95
03M452,P.S. 452,72%,78%,N/A,4.52,3.72,4.07,N/A,4.38,3.90
03M479,BEACON HIGH SCHOOL,27%,91%,82%,N/A,N/A,N/A,N/A,N/A,2.43
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,31%,74%,91%,3.15,3.39,4.35,N/A,2.87,1.44
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",37%,100%,68%,N/A,N/A,N/A,N/A,N/A,4.06
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,14%,97%,70%,2.11,2.17,1.74,N/A,2.58,2.30
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,6%,81%,37%,N/A,N/A,N/A,N/A,N/A,4.17
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,55%,88%,83%,3.17,3.22,4.80,N/A,3.54,3.83
03M859,SPECIAL MUSIC SCHOOL,52%,83%,86%,4.34,3.15,4.77,N/A,4.07,3.81
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,27%,85%,77%,2.34,2.76,2.60,N/A,2.70,2.33
03M862,MOTT HALL II,88%,83%,100%,4.52,4.80,4.32,N/A,4.36,4.11
04M007,P.S. 007 SAMUEL STERN,27%,84%,70%,3.17,2.63,3.67,N/A,2.57,2.82
04M012,TAG YOUNG SCHOLARS,69%,96%,95%,3.05,2.74,4.76,N/A,3.89,2.50
04M037,RIVER EAST ELEMENTARY,72%,95%,N/A,4.67,4.46,4.35,N/A,4.49,4.80
04M038,P.S. 38 ROBERTO CLEMENTE,96%,85%,N/A,3.56,3.91,3.39,N/A,3.33,3.45
04M050,P.S. 050 VITO MARCANTONIO,46%,59%,92%,N/A,N/A,N/A,N/A,N/A,N/A
04M057,JAMES WELDON JOHNSON,43%,49%,86%,N/A,N/A,N/A,N/A,N/A,3.37
04M072,THE LEXINGTON ACADEMY,22%,81%,83%,4.57,3.93,3.97,N/A,3.13,3.68
04M083,P.S. 083 LUIS MUNOZ RIVERA,63%,100%,N/A,3.75,3.66,3.59,N/A,4.25,4.24
04M096,P.S. 096 JOSEPH LANZETTA,71%,91%,98%,N/A,N/A,N/A,N/A,N/A,3.15
04M102,P.S. 102 JACQUES CARTIER,40%,67%,N/A,2.41,2.61,1.98,N/A,3.07,1.68
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,50%,93%,98%,3.66,3.38,2.71,N/A,3.71,4.26
04M112,P.S. 112 JOSE CELSO BARBOSA,78%,96%,N/A,4.23,3.45,4.32,N/A,3.81,3.69
04M146,P.S. 146 ANN M. SHORT,39%,67%,N/A,2.84,3.07,2.32,N/A,4.39,4.15
04M155,P.S. 155 WILLIAM PACA,77%,60%,N/A,3.28,3.38,3.49,N/A,2.48,2.97
04M171,P.S. 171 PATRICK HENRY,100%,56%,96%,4.42,4.12,4.85,N/A,3.30,3.92
04M182,THE BILINGUAL BICULTURAL SCHOOL,72%,78%,N/A,3.72,3.68,3.35,N/A,2.91,3.96
04M206,P.S. 206 JOSE CELSO BARBOSA,83%,96%,98%,3.67,3.55,3.22,N/A,3.30,3.68
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,58%,100%,96%,4.12,3.47,4.06,N/A,3.33,3.51
04M310,THE JUDITH S. KAYE HIGH SCHOOL,0%,100%,42%,N/A,N/A,N/A,N/A,N/A,N/A
04M372,ESPERANZA PREPARATORY ACADEMY,57%,84%,83%,3.52,3.46,3.30,N/A,3.19,3.50
04M375,MOSAIC PREPARATORY ACADEMY,54%,66%,N/A,3.22,3.73,3.83,N/A,3.94,2.74
04M377,RENAISSANCE SCHOOL OF THE ARTS,91%,100%,98%,4.31,3.66,3.64,N/A,3.98,3.98
04M406,GLOBAL TECHNOLOGY PREPARATORY,27%,80%,44%,N/A,N/A,N/A,N/A,N/A,N/A
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,57%,100%,97%,N/A,N/A,N/A,N/A,N/A,N/A
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,90%,91%,91%,4.78,4.65,4.78,N/A,3.24,3.71
04M495,PARK EAST HIGH SCHOOL,55%,94%,93%,4.83,4.22,4.10,N/A,3.92,4.08
04M497,CENTRAL PARK EAST I,58%,60%,N/A,2.54,2.81,2.51,N/A,4.00,4.23
04M555,CENTRAL PARK EAST HIGH SCHOOL,36%,94%,87%,4.71,4.40,4.94,N/A,4.33,4.37
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,60%,97%,88%,4.66,4.12,4.48,N/A,3.30,4.31
04M680,"HERITAGE SCHOOL, THE",66%,88%,91%,4.10,3.98,2.51,N/A,3.24,3.57
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,65%,89%,94%,3.14,3.58,2.84,N/A,3.13,3.75
